"target_code","target_name","track","track_label","horizon","forecast_number","origin_date","seed","selection_source","n_selected","max_runs","feature"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"AAAFFM_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"AAAFFM_L1"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"AAAFFM_L3"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"AWHMAN_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"BAAFFM_L1"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"BAAFFM_L2"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"BAAFFM_L3"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"BOGMBASE_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"BUSINVx_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"CES0600000007_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"COMPAPFFx_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"CPIAPPSL_L3"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"CPIAUCSL_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"CPIAUCSL_L1"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"CPITRNSL_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"CPIULFSL_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"CUSR0000SA0L2_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"CUSR0000SA0L5_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"CUSR0000SAC_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"DNDGRG3M086SBEA_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"GS5_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"M2REAL_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"OILPRICEx_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"PC2_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"PC3_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"PCEPI_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"RETAILx_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"T10YFFM_L2"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"T1YFFM_L2"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"T5YFFM_L1"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"T5YFFM_L2"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"T5YFFM_L3"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"TB3SMFFM_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"TB3SMFFM_L2"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"TB6MS_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"TB6SMFFM_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"TB6SMFFM_L1"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"TB6SMFFM_L2"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"WPSFD49207_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"WPSFD49502_L0"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"WPSID61_L0"
