"horizon","forecast_number","window_start_index","window_end_index","origin_index","target_index","window_start_date","origin_date","target_date","actual","evaluation_included","target_feature_valid","origin_level","actual_level","target_mode"
1,1,12,371,371,372,1988-12-01,2018-11-01,2018-12-01,0.000684659112032193,TRUE,TRUE,252.594,252.767,"cumulative_log_change"
1,2,13,372,372,373,1989-01-01,2018-12-01,2019-01-01,-0.000815312080119313,TRUE,TRUE,252.767,252.561,"cumulative_log_change"
1,3,14,373,373,374,1989-02-01,2019-01-01,2019-02-01,0.00299676036717322,TRUE,TRUE,252.561,253.319,"cumulative_log_change"
1,4,15,374,374,375,1989-03-01,2019-02-01,2019-03-01,0.00377465991642811,TRUE,TRUE,253.319,254.277,"cumulative_log_change"
1,5,16,375,375,376,1989-04-01,2019-03-01,2019-04-01,0.00375262947492327,TRUE,TRUE,254.277,255.233,"cumulative_log_change"
1,6,17,376,376,377,1989-05-01,2019-04-01,2019-05-01,0.000246802827340353,TRUE,TRUE,255.233,255.296,"cumulative_log_change"
1,7,18,377,377,378,1989-06-01,2019-05-01,2019-06-01,-0.000325165670854943,TRUE,TRUE,255.296,255.213,"cumulative_log_change"
1,8,19,378,378,379,1989-07-01,2019-06-01,2019-07-01,0.00230521711037834,TRUE,TRUE,255.213,255.802,"cumulative_log_change"
1,9,20,379,379,380,1989-08-01,2019-07-01,2019-08-01,0.000914351870329178,TRUE,TRUE,255.802,256.036,"cumulative_log_change"
1,10,21,380,380,381,1989-09-01,2019-08-01,2019-09-01,0.00153766328939486,TRUE,TRUE,256.036,256.43,"cumulative_log_change"
1,11,22,381,381,382,1989-10-01,2019-09-01,2019-10-01,0.00282329305404261,TRUE,TRUE,256.43,257.155,"cumulative_log_change"
1,12,23,382,382,383,1989-11-01,2019-10-01,2019-11-01,0.00281146672606258,TRUE,TRUE,257.155,257.879,"cumulative_log_change"
1,13,24,383,383,384,1989-12-01,2019-11-01,2019-12-01,0.00290798622764932,TRUE,TRUE,257.879,258.63,"cumulative_log_change"
1,14,25,384,384,385,1990-01-01,2019-12-01,2020-01-01,0.00191982011889724,TRUE,TRUE,258.63,259.127,"cumulative_log_change"
1,15,26,385,385,386,1990-02-01,2020-01-01,2020-02-01,0.00047455810079633,TRUE,TRUE,259.127,259.25,"cumulative_log_change"
1,16,27,386,386,387,1990-03-01,2020-02-01,2020-03-01,-0.00453873192290555,TRUE,TRUE,259.25,258.076,"cumulative_log_change"
1,17,28,387,387,388,1990-04-01,2020-03-01,2020-04-01,-0.00795167851901812,TRUE,TRUE,258.076,256.032,"cumulative_log_change"
1,18,29,388,388,389,1990-05-01,2020-04-01,2020-05-01,-0.00089872894524845,TRUE,TRUE,256.032,255.802,"cumulative_log_change"
1,19,30,389,389,390,1990-06-01,2020-05-01,2020-06-01,0.00483578794500161,TRUE,TRUE,255.802,257.042,"cumulative_log_change"
1,20,31,390,390,391,1990-07-01,2020-06-01,2020-07-01,0.00508350047179906,TRUE,TRUE,257.042,258.352,"cumulative_log_change"
1,21,32,391,391,392,1990-08-01,2020-07-01,2020-08-01,0.00372439909098254,TRUE,TRUE,258.352,259.316,"cumulative_log_change"
1,22,33,392,392,393,1990-09-01,2020-08-01,2020-09-01,0.00262269725717257,TRUE,TRUE,259.316,259.997,"cumulative_log_change"
1,23,34,393,393,394,1990-10-01,2020-09-01,2020-10-01,0.00123770954999181,TRUE,TRUE,259.997,260.319,"cumulative_log_change"
1,24,35,394,394,395,1990-11-01,2020-10-01,2020-11-01,0.00227155096428522,TRUE,TRUE,260.319,260.911,"cumulative_log_change"
1,25,36,395,395,396,1990-12-01,2020-11-01,2020-12-01,0.00433689173626473,TRUE,TRUE,260.911,262.045,"cumulative_log_change"
1,26,37,396,396,397,1991-01-01,2020-12-01,2021-01-01,0.00244696462323013,TRUE,TRUE,262.045,262.687,"cumulative_log_change"
1,27,38,397,397,398,1991-02-01,2021-01-01,2021-02-01,0.0033899239327928,TRUE,TRUE,262.687,263.579,"cumulative_log_change"
1,28,39,398,398,399,1991-03-01,2021-02-01,2021-03-01,0.00522951205037714,TRUE,TRUE,263.579,264.961,"cumulative_log_change"
1,29,40,399,399,400,1991-04-01,2021-03-01,2021-04-01,0.0062192741497622,TRUE,TRUE,264.961,266.614,"cumulative_log_change"
