"model","model_family","horizon","n_evaluation","RMSE","MAE","bias","correlation"
"AR(4)","Baseline",1,88,0.00258100895141085,0.0018399808992915,0.000666551209592887,0.547486150415427
"Ensemble_Median","Ensemble",1,88,0.00263428499882398,0.00191698179715485,0.000863264482987601,0.552072562242128
"Ensemble_Mean","Ensemble",1,88,0.00265603860803074,0.00191776022108845,0.000859236928876332,0.533611003697149
"Ensemble_InvRMSE","Ensemble",1,88,0.0026579840224045,0.00191618249628901,0.000851128721533966,0.53098156828501
"LASSO","Regularization",1,88,0.00272191468831227,0.00191371407489461,0.00089486892014166,0.501662678185857
"ElasticNet","Regularization",1,88,0.00274354089423552,0.00192722442570038,0.000949821061888945,0.499714241461039
"BorutaRF","FeatureSelection+Tree",1,88,0.00274817217432172,0.00194124883648136,0.000825200595603112,0.470977190833784
"RandomForest","Tree",1,88,0.00276678777698636,0.00200890841513588,0.00101602744070243,0.507125479355993
"XGBoost","Boosting",1,88,0.00279972662522519,0.00204795639931875,0.00104501708779735,0.485756597633393
"RW","Baseline",1,88,0.00281452636001458,0.00197267616587168,6.64702799720357e-05,0.555219643324537
"Ridge","Regularization",1,88,0.0031185669469598,0.00213294445661088,0.00130625327010481,0.349899708073104
"Factor","Factor",1,88,0.00328694841387664,0.00206120265283406,0.000962922494083748,0.378048878843605
"Ensemble_Mean","Ensemble",3,88,0.00321270488650784,0.00226058472654797,0.00108416350873242,0.102454445559307
"XGBoost","Boosting",3,88,0.00321401698157962,0.00225615505961711,0.00117399744237576,-0.0395848875964696
"Ensemble_InvRMSE","Ensemble",3,88,0.00322098780019978,0.00227427140107059,0.00109631462104119,0.0981479760447857
"AR(4)","Baseline",3,88,0.00323612230872643,0.00228590936750406,0.00109843170145199,-0.172269877236767
"RandomForest","Tree",3,88,0.00325288013026554,0.00241684487198059,0.00124668260532037,0.153717203478393
"BorutaRF","FeatureSelection+Tree",3,88,0.00326853504678871,0.00241787620504805,0.00094915157858436,0.193329123580114
"Ensemble_Median","Ensemble",3,88,0.00334103794921506,0.00231063166968701,0.0012188027310536,-0.0604129093640834
"ElasticNet","Regularization",3,88,0.003342098239818,0.00230910608048187,0.00125543689451852,-0.0179560583620527
"LASSO","Regularization",3,88,0.00335828595308542,0.00231347408311868,0.00125253145458323,-0.0210256767729998
"RW","Baseline",3,88,0.00361380961922988,0.00278362546399798,0.000218835618966447,0.253127874277982
"Ridge","Regularization",3,88,0.0036956946565629,0.00245232285202469,0.00140700963582368,-0.034635317721252
"Factor","Factor",3,88,0.0041371239376881,0.0025660291435847,0.00115539464696743,-0.0906370690689532
"RandomForest","Tree",6,88,0.0031012232553081,0.00225835289461289,0.000980864439966629,0.18323795836714
"Ensemble_Mean","Ensemble",6,88,0.0031136671084482,0.00227702026734555,0.000960452140759755,0.154799000454671
"Ensemble_InvRMSE","Ensemble",6,88,0.00311979466973969,0.00228153870171004,0.000953969238790891,0.146514053726153
"BorutaRF","FeatureSelection+Tree",6,88,0.00314902717699413,0.00229898923029673,0.000548560560342004,0.158473219041979
"Ensemble_Median","Ensemble",6,88,0.00321373277859698,0.00227786031479504,0.00116443496967075,0.0282846342945891
"XGBoost","Boosting",6,88,0.00322915003198301,0.00228088009030192,0.00116560664616503,-0.0814373244203601
"AR(4)","Baseline",6,88,0.00325577019302092,0.00226911129560062,0.001105524362675,-0.297544654756918
"LASSO","Regularization",6,88,0.00335670692944309,0.00239816674238764,0.00121160943257111,0.0104275112004681
"ElasticNet","Regularization",6,88,0.00339364234881414,0.00242778350364087,0.00122412760146216,0.0218161671870933
"Factor","Factor",6,88,0.00340841903193684,0.00235753698928176,0.00105668118728661,0.0204306576087347
"RW","Baseline",6,88,0.00366209938547193,0.00277569199637842,0.000227132729149679,0.23501267910981
"Ridge","Regularization",6,88,0.00368672643591861,0.00250853284538453,0.00112396230721958,0.067814198252246
"Ensemble_Median","Ensemble",12,88,0.00320637228021835,0.00222519743333944,0.00108630984256683,-0.0875543222520758
"Ridge","Regularization",12,88,0.00322116766751332,0.00222644085949656,0.00109527903618087,-0.07900757712097
"LASSO","Regularization",12,88,0.00322166640507639,0.00224872495680157,0.00119907687449985,-0.134695565366966
"XGBoost","Boosting",12,88,0.00322464286249632,0.0022651311952116,0.00105960385517275,-0.10904097418301
"Ensemble_Mean","Ensemble",12,88,0.0032311086593913,0.00229869189576126,0.00102053656970216,-0.118724448869185
"ElasticNet","Regularization",12,88,0.00323372062786151,0.00225210644104234,0.00119867764772563,-0.226573052192321
"Ensemble_InvRMSE","Ensemble",12,88,0.00324425173593161,0.00230328867064954,0.00104603946351632,-0.151224874487849
"AR(4)","Baseline",12,88,0.0032596657832036,0.00223212545862281,0.00124918363804593,0.0402997318214611
"RandomForest","Tree",12,88,0.00335973118217084,0.00239507820006155,0.00102928461316521,-0.159990796205582
"Factor","Factor",12,88,0.00338598711589932,0.00232476237238241,0.00124348295147631,-0.063472626807845
"BorutaRF","FeatureSelection+Tree",12,88,0.00344937329201086,0.00253650543315227,0.000851761784572475,-0.191540860377139
"RW","Baseline",12,88,0.00421512104272294,0.00310252040020217,0.000258478726480438,-0.00950335886706601
