"target_code","target_name","model_key","model","model_family","horizon","forecast_number","window_start_date","origin_date","target_date","actual","prediction","evaluation_included","status","status_message","missing_before","short_gap_imputed_count","final_imputed_count","dropped_predictor_count","missing_after","em_iterations","em_converged","em_last_change","training_observations","n_features","n_selected","tuning_parameter","validation_loss","error","squared_error","absolute_error"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","RW","RW","Baseline",1,1,1988-12-01,2018-11-01,2018-12-01,0.000684659112032193,-0.000704439979582361,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,360,1,1,,,0.00138909909161455,1.92959628632438e-06,0.00138909909161455
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","AR","AR(4)","Baseline",1,1,1988-12-01,2018-11-01,2018-12-01,0.000684659112032193,0.00059343737286271,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,4,4,"AR_lags=4",,9.12217391694833e-05,8.32140569710524e-09,9.12217391694833e-05
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","Ridge","Ridge","Regularization",1,1,1988-12-01,2018-11-01,2018-12-01,0.000684659112032193,-0.000187834704960895,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,513,"0.011338223",3.55054698833719e-06,0.000872493816993088,7.61245460691168e-07,0.000872493816993088
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","LASSO","LASSO","Regularization",1,1,1988-12-01,2018-11-01,2018-12-01,0.000684659112032193,-0.000401534721682409,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,23,"0.00023317195",3.70782462937456e-06,0.0010861938337146,1.17981704439962e-06,0.0010861938337146
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","ElasticNet","ElasticNet","Regularization",1,1,1988-12-01,2018-11-01,2018-12-01,0.000684659112032193,-0.000285735506718669,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,29,"0.00044514786",3.74124809344159e-06,0.000970394618750862,9.41665716100631e-07,0.000970394618750862
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","Factor","Factor","Factor",1,1,1988-12-01,2018-11-01,2018-12-01,0.000684659112032193,0.000168251489203437,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,20,5,"factor_lags=1",-4311.10162142387,0.000516407622828756,2.66676832915647e-07,0.000516407622828756
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","RandomForest","RandomForest","Tree",1,1,1988-12-01,2018-11-01,2018-12-01,0.000684659112032193,0.000928733461403435,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,516,"ntree=600;mtry=22",,-0.000244074349371241,5.95722880209948e-08,0.000244074349371241
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","XGBoost","XGBoost","Boosting",1,1,1988-12-01,2018-11-01,2018-12-01,0.000684659112032193,0.000126176819321699,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,516,"nrounds=167",0.00192963721201633,0.000558482292710494,3.1190247127117e-07,0.000558482292710494
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","BorutaRF","BorutaRF","FeatureSelection+Tree",1,1,1988-12-01,2018-11-01,2018-12-01,0.000684659112032193,0.000944931385555397,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,41,"ntree=600;refresh=TRUE;last_refresh=1;source=boruta_confirmed",,-0.000260272273523203,6.77416563649372e-08,0.000260272273523203
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","RW","RW","Baseline",1,2,1989-01-01,2018-12-01,2019-01-01,-0.000815312080119313,0.000684659112032193,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,360,1,1,,,-0.00149997119215151,2.24991357728441e-06,0.00149997119215151
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","AR","AR(4)","Baseline",1,2,1989-01-01,2018-12-01,2019-01-01,-0.000815312080119313,0.0018702225195704,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,4,4,"AR_lags=4",,-0.00268553459968971,7.21209608613058e-06,0.00268553459968971
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","Ridge","Ridge","Regularization",1,2,1989-01-01,2018-12-01,2019-01-01,-0.000815312080119313,0.000544327093692224,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,514,"0.01117186",3.54059176381251e-06,-0.00135963917381154,1.84861868296292e-06,0.00135963917381154
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","LASSO","LASSO","Regularization",1,2,1989-01-01,2018-12-01,2019-01-01,-0.000815312080119313,0.00100931195612347,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,25,"0.00024069043",3.71309557798627e-06,-0.00182462403624279,3.32925287363491e-06,0.00182462403624279
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","ElasticNet","ElasticNet","Regularization",1,2,1989-01-01,2018-12-01,2019-01-01,-0.000815312080119313,0.000860186927524035,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,30,"0.0004386163",3.73168571988688e-06,-0.00167549900764335,2.80729692461384e-06,0.00167549900764335
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","Factor","Factor","Factor",1,2,1989-01-01,2018-12-01,2019-01-01,-0.000815312080119313,0.00154346770109437,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,20,5,"factor_lags=1",-4314.50376279283,-0.00235877978121368,5.56384205626248e-06,0.00235877978121368
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","RandomForest","RandomForest","Tree",1,2,1989-01-01,2018-12-01,2019-01-01,-0.000815312080119313,0.00182766531321441,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,516,"ntree=600;mtry=22",,-0.00264297739333372,6.98532950167312e-06,0.00264297739333372
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","XGBoost","XGBoost","Boosting",1,2,1989-01-01,2018-12-01,2019-01-01,-0.000815312080119313,0.00257421657443047,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,516,"nrounds=140",0.00195147256276508,-0.00338952865454978,1.1488904500014e-05,0.00338952865454978
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]","BorutaRF","BorutaRF","FeatureSelection+Tree",1,2,1989-01-01,2018-12-01,2019-01-01,-0.000815312080119313,0.0024134898376893,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,41,"ntree=600;refresh=FALSE;last_refresh=1;source=boruta_confirmed",,-0.00322880191780861,1.04251618244446e-05,0.00322880191780861
