"ensemble","horizon","forecast_origin","target_date","member_model","weight","history_count"
"Ensemble_Mean",1,2026-05-01,2026-06-01,"RW",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"AR(4)",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"Ridge",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"LASSO",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"ElasticNet",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"Factor",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"RandomForest",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"XGBoost",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"BorutaRF",0.111111111111111,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"RW",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"AR(4)",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"Ridge",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"LASSO",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"ElasticNet",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"Factor",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"RandomForest",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"XGBoost",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"BorutaRF",,0
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"RW",0.0757697456344521,84
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"AR(4)",0.127570567561782,84
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"Ridge",0.104685374086853,84
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"LASSO",0.120637131235475,84
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"ElasticNet",0.119581119434966,84
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"Factor",0.0986995635454251,84
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"RandomForest",0.116414195764211,84
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"XGBoost",0.115743003936798,84
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"BorutaRF",0.120899298800037,84
"Ensemble_Mean",3,2026-05-01,2026-08-01,"RW",0.111111111111111,0
"Ensemble_Mean",3,2026-05-01,2026-08-01,"AR(4)",0.111111111111111,0
"Ensemble_Mean",3,2026-05-01,2026-08-01,"Ridge",0.111111111111111,0
"Ensemble_Mean",3,2026-05-01,2026-08-01,"LASSO",0.111111111111111,0
