"track","track_label","horizon","loss","n_evaluation","n_models","n_survivors","alpha","confidence_level","bootstrap_samples","block_length","statistic","final_p_value","minimum_survivor_mcs_p_value","mcs_package_version","mcs_output_format","extraction_status","audit_status","audit_failed","audit_critical_failed","status","status_message"
"monthly_transformed","Target-month transformed change",1,"SE",88,12,12,0.1,0.9,5000,3,"Tmax",,0.1966,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",1,"AE",88,12,12,0.1,0.9,5000,3,"Tmax",,0.4566,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",3,"SE",88,12,12,0.1,0.9,5000,4,"Tmax",,0.5206,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",3,"AE",88,12,12,0.1,0.9,5000,3,"Tmax",,0.3892,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",6,"SE",88,12,12,0.1,0.9,5000,3,"Tmax",,0.5188,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",6,"AE",88,12,12,0.1,0.9,5000,5,"Tmax",,0.597,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",12,"SE",88,12,11,0.1,0.9,5000,3,"Tmax",,0.2628,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",12,"AE",88,12,10,0.1,0.9,5000,3,"Tmax",,0.3052,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"SE",84,12,11,0.1,0.9,5000,3,"Tmax",,0.1478,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",1,"AE",84,12,11,0.1,0.9,5000,3,"Tmax",,0.4342,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",3,"SE",84,12,11,0.1,0.9,5000,3,"Tmax",,0.3246,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",3,"AE",84,12,11,0.1,0.9,5000,3,"Tmax",,0.4276,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",6,"SE",87,12,11,0.1,0.9,5000,8,"Tmax",,0.22,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",6,"AE",87,12,10,0.1,0.9,5000,8,"Tmax",,0.2286,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",12,"SE",89,12,11,0.1,0.9,5000,8,"Tmax",,0.4228,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Consumer Price Index: All Items [CPIAUCSL] cumulative transformed change / reconstructed level",12,"AE",89,12,11,0.1,0.9,5000,13,"Tmax",,0.2552,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
