"horizon","forecast_number","window_start_index","window_end_index","origin_index","target_index","window_start_date","origin_date","target_date","actual","evaluation_included"
1,1,12,371,371,372,1988-12-01,2018-11-01,2018-12-01,0.000684659112032193,TRUE
1,2,13,372,372,373,1989-01-01,2018-12-01,2019-01-01,-0.000815312080119313,TRUE
1,3,14,373,373,374,1989-02-01,2019-01-01,2019-02-01,0.00299676036717322,TRUE
1,4,15,374,374,375,1989-03-01,2019-02-01,2019-03-01,0.00377465991642811,TRUE
1,5,16,375,375,376,1989-04-01,2019-03-01,2019-04-01,0.00375262947492327,TRUE
1,6,17,376,376,377,1989-05-01,2019-04-01,2019-05-01,0.000246802827340353,TRUE
1,7,18,377,377,378,1989-06-01,2019-05-01,2019-06-01,-0.000325165670854943,TRUE
1,8,19,378,378,379,1989-07-01,2019-06-01,2019-07-01,0.00230521711037834,TRUE
1,9,20,379,379,380,1989-08-01,2019-07-01,2019-08-01,0.000914351870329178,TRUE
1,10,21,380,380,381,1989-09-01,2019-08-01,2019-09-01,0.00153766328939486,TRUE
1,11,22,381,381,382,1989-10-01,2019-09-01,2019-10-01,0.00282329305404261,TRUE
1,12,23,382,382,383,1989-11-01,2019-10-01,2019-11-01,0.00281146672606258,TRUE
1,13,24,383,383,384,1989-12-01,2019-11-01,2019-12-01,0.00290798622764932,TRUE
1,14,25,384,384,385,1990-01-01,2019-12-01,2020-01-01,0.00191982011889724,TRUE
1,15,26,385,385,386,1990-02-01,2020-01-01,2020-02-01,0.00047455810079633,TRUE
1,16,27,386,386,387,1990-03-01,2020-02-01,2020-03-01,-0.00453873192290555,TRUE
1,17,28,387,387,388,1990-04-01,2020-03-01,2020-04-01,-0.00795167851901812,TRUE
1,18,29,388,388,389,1990-05-01,2020-04-01,2020-05-01,-0.00089872894524845,TRUE
1,19,30,389,389,390,1990-06-01,2020-05-01,2020-06-01,0.00483578794500161,TRUE
1,20,31,390,390,391,1990-07-01,2020-06-01,2020-07-01,0.00508350047179906,TRUE
1,21,32,391,391,392,1990-08-01,2020-07-01,2020-08-01,0.00372439909098254,TRUE
1,22,33,392,392,393,1990-09-01,2020-08-01,2020-09-01,0.00262269725717257,TRUE
1,23,34,393,393,394,1990-10-01,2020-09-01,2020-10-01,0.00123770954999181,TRUE
1,24,35,394,394,395,1990-11-01,2020-10-01,2020-11-01,0.00227155096428522,TRUE
1,25,36,395,395,396,1990-12-01,2020-11-01,2020-12-01,0.00433689173626473,TRUE
1,26,37,396,396,397,1991-01-01,2020-12-01,2021-01-01,0.00244696462323013,TRUE
1,27,38,397,397,398,1991-02-01,2021-01-01,2021-02-01,0.0033899239327928,TRUE
1,28,39,398,398,399,1991-03-01,2021-02-01,2021-03-01,0.00522951205037714,TRUE
1,29,40,399,399,400,1991-04-01,2021-03-01,2021-04-01,0.0062192741497622,TRUE
1,30,41,400,400,401,1991-05-01,2021-04-01,2021-05-01,0.006613145296404,TRUE
1,31,42,401,401,402,1991-06-01,2021-05-01,2021-06-01,0.00842618757842128,TRUE
1,32,43,402,402,403,1991-07-01,2021-06-01,2021-07-01,0.0046041326767936,TRUE
1,33,44,403,403,404,1991-08-01,2021-07-01,2021-08-01,0.00283889213191735,TRUE
1,34,45,404,404,405,1991-09-01,2021-08-01,2021-09-01,0.00451530809997358,TRUE
1,35,46,405,405,406,1991-10-01,2021-09-01,2021-10-01,0.00959205116305295,TRUE
1,36,47,406,406,407,1991-11-01,2021-10-01,2021-11-01,0.00852978064827425,TRUE
1,37,48,407,407,408,1991-12-01,2021-11-01,2021-12-01,0.00688149863326437,TRUE
1,38,49,408,408,409,1992-01-01,2021-12-01,2022-01-01,0.0060278356705199,TRUE
1,39,50,409,409,410,1992-02-01,2022-01-01,2022-02-01,0.00690250217363975,TRUE
1,40,51,410,410,411,1992-03-01,2022-02-01,2022-03-01,0.0110946409921393,TRUE
1,41,52,411,411,412,1992-04-01,2022-03-01,2022-04-01,0.00307860751453592,TRUE
1,42,53,412,412,413,1992-05-01,2022-04-01,2022-05-01,0.0094402960946427,TRUE
1,43,54,413,413,414,1992-06-01,2022-05-01,2022-06-01,0.0124827848358358,TRUE
1,44,55,414,414,415,1992-07-01,2022-06-01,2022-07-01,-0.000149185414012543,TRUE
1,45,56,415,415,416,1992-08-01,2022-07-01,2022-08-01,0.000623718262284356,TRUE
1,46,57,416,416,417,1992-09-01,2022-08-01,2022-09-01,0.00423369798795115,TRUE
1,47,58,417,417,418,1992-10-01,2022-09-01,2022-10-01,0.00557916232264422,TRUE
1,48,59,418,418,419,1992-11-01,2022-10-01,2022-11-01,0.00261062191557038,TRUE
1,49,60,419,419,420,1992-12-01,2022-11-01,2022-12-01,0.000153944493274771,TRUE
1,50,61,420,420,421,1993-01-01,2022-12-01,2023-01-01,0.00529995299865682,TRUE
1,51,62,421,421,422,1993-02-01,2023-01-01,2023-02-01,0.00342266936550661,TRUE
1,52,63,422,422,423,1993-03-01,2023-02-01,2023-03-01,0.0012299614825535,TRUE
1,53,64,423,423,424,1993-04-01,2023-03-01,2023-04-01,0.00338699704935408,TRUE
1,54,65,424,424,425,1993-05-01,2023-04-01,2023-05-01,0.00161338517524623,TRUE
1,55,66,425,425,426,1993-06-01,2023-05-01,2023-06-01,0.00223924433484246,TRUE
1,56,67,426,426,427,1993-07-01,2023-06-01,2023-07-01,0.00195523399396347,TRUE
1,57,68,427,427,428,1993-08-01,2023-07-01,2023-08-01,0.00482405293863497,TRUE
1,58,69,428,428,429,1993-09-01,2023-08-01,2023-09-01,0.00389332659953823,TRUE
1,59,70,429,429,430,1993-10-01,2023-09-01,2023-10-01,0.00136591605894409,TRUE
1,60,71,430,430,431,1993-11-01,2023-10-01,2023-11-01,0.00146790447308742,TRUE
1,61,72,431,431,432,1993-12-01,2023-11-01,2023-12-01,0.00192255067817282,TRUE
1,62,73,432,432,433,1994-01-01,2023-12-01,2024-01-01,0.0030948913761053,TRUE
1,63,74,433,433,434,1994-02-01,2024-01-01,2024-02-01,0.00408916812862525,TRUE
1,64,75,434,434,435,1994-03-01,2024-02-01,2024-03-01,0.0044215489032835,TRUE
1,65,76,435,435,436,1994-04-01,2024-03-01,2024-04-01,0.00216832414080059,TRUE
1,66,77,436,436,437,1994-05-01,2024-04-01,2024-05-01,0.000485469461688481,TRUE
1,67,78,437,437,438,1994-06-01,2024-05-01,2024-06-01,-0.000418383989980953,TRUE
1,68,79,438,438,439,1994-07-01,2024-06-01,2024-07-01,0.00167567580897732,TRUE
1,69,80,439,439,440,1994-08-01,2024-07-01,2024-08-01,0.00157098709717562,TRUE
1,70,81,440,440,441,1994-09-01,2024-08-01,2024-09-01,0.00213106439808097,TRUE
1,71,82,441,441,442,1994-10-01,2024-09-01,2024-10-01,0.00285232670541991,TRUE
1,72,83,442,442,443,1994-11-01,2024-10-01,2024-11-01,0.00283789553580771,TRUE
1,73,84,443,443,444,1994-12-01,2024-11-01,2024-12-01,0.0033936184663732,TRUE
1,74,85,444,444,445,1995-01-01,2024-12-01,2025-01-01,0.00426351450544171,TRUE
1,75,86,445,445,446,1995-02-01,2025-01-01,2025-02-01,0.00224852906961726,TRUE
1,76,87,446,446,447,1995-03-01,2025-02-01,2025-03-01,0.000331527657446706,TRUE
1,77,88,447,447,448,1995-04-01,2025-03-01,2025-04-01,0.00161540575711605,TRUE
1,78,89,448,448,449,1995-05-01,2025-04-01,2025-05-01,0.000992320519796586,TRUE
1,79,90,449,449,450,1995-06-01,2025-05-01,2025-06-01,0.00253872468162797,TRUE
1,80,91,450,450,451,1995-07-01,2025-06-01,2025-07-01,0.00228090663893177,TRUE
