"target_code","target_name","target_mode","model_key","model","model_family","horizon","forecast_number","window_start_date","origin_date","target_date","origin_level","actual","prediction","evaluation_included","status","status_message","missing_before","short_gap_imputed_count","final_imputed_count","dropped_predictor_count","total_imputed_count","missing_after","em_iterations","em_converged","em_last_change","training_observations","n_features","n_selected","tuning_parameter","validation_loss","error","squared_error","absolute_error","actual_level","forecast_level","actual_cumulative_percent","forecast_cumulative_percent","actual_annualized_percent","forecast_annualized_percent","target_response_error","level_error","level_squared_error","level_absolute_error"
"INDPRO","Industrial Production Index [INDPRO]","cumulative_log_change","RW","RW","Baseline",1,1,1988-12-01,2018-11-01,2018-12-01,104.0681,0.000245001843542703,0,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,359,1,1,"level RW;mode=cumulative_log_change",,0.000245001843542703,6.00259033393229e-08,0.000245001843542703,104.0936,104.0681,0.0245031858945532,0,0.294434822612666,0,0.000245001843542703,0.0254999999999228,0.000650249999996063,0.0254999999999228
"INDPRO","Industrial Production Index [INDPRO]","cumulative_log_change","AR","AR(4)","Baseline",1,1,1988-12-01,2018-11-01,2018-12-01,104.0681,0.000245001843542703,0.00168381931856413,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,4,4,"AR_lags=4;mode=cumulative_log_change",,-0.00143881747502142,2.07019572642702e-06,0.00143881747502142,104.0936,104.243479489475,0.0245031858945532,0.168523773832208,0.294434822612666,2.04113515409508,-0.00143881747502142,-0.149879489475552,0.0224638613654521,0.149879489475552
"INDPRO","Industrial Production Index [INDPRO]","cumulative_log_change","Ridge","Ridge","Regularization",1,1,1988-12-01,2018-11-01,2018-12-01,104.0681,0.000245001843542703,0.00148844587190276,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,516,510,"2.8983566",2.26694179375545e-05,-0.00124344402836006,1.54615305166429e-06,0.00124344402836006,104.0936,104.223115070994,0.0245031858945532,0.14895541572657,0.294434822612666,1.80218183503327,-0.00124344402836006,-0.129515070993818,0.0167741536145338,0.129515070993818
"INDPRO","Industrial Production Index [INDPRO]","cumulative_log_change","LASSO","LASSO","Regularization",1,1,1988-12-01,2018-11-01,2018-12-01,104.0681,0.000245001843542703,0.00103354506814307,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,516,5,"0.0017375191",2.1845461472174e-05,-0.000788543224600363,6.21800417063139e-07,0.000788543224600363,104.0936,104.175714674234,0.0245031858945532,0.103407935990263,0.294434822612666,1.24797712814757,-0.000788543224600363,-0.0821146742343615,0.00674281972461531,0.0821146742343615
"INDPRO","Industrial Production Index [INDPRO]","cumulative_log_change","ElasticNet","ElasticNet","Regularization",1,1,1988-12-01,2018-11-01,2018-12-01,104.0681,0.000245001843542703,0.00110985540767071,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,516,8,"0.0033170924",2.19207475595482e-05,-0.000864853564128007,7.47971687384916e-07,0.000864853564128007,104.0936,104.183664661721,0.0245031858945532,0.111047152509625,0.294434822612666,1.34073480201684,-0.000864853564128007,-0.0900646617209446,0.00811164329090819,0.0900646617209446
"INDPRO","Industrial Production Index [INDPRO]","cumulative_log_change","Factor","Factor","Factor",1,1,1988-12-01,2018-11-01,2018-12-01,104.0681,0.000245001843542703,0.00164690669784792,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,20,5,"factor_lags=1",-3648.83006163306,-0.00140190485430521,1.96533722052452e-06,0.00140190485430521,104.0936,104.239631660472,0.0245031858945532,0.164826359347492,0.294434822612666,1.99594589452521,-0.00140190485430521,-0.14603166047219,0.0213252458602649,0.14603166047219
"INDPRO","Industrial Production Index [INDPRO]","cumulative_log_change","RandomForest","RandomForest","Tree",1,1,1988-12-01,2018-11-01,2018-12-01,104.0681,0.000245001843542703,0.00196774713009912,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,516,516,"ntree=600;mtry=22",,-0.00172274528655641,2.96785132235234e-06,0.00172274528655641,104.0936,104.273081314666,0.0245031858945532,0.196968441497036,0.294434822612666,2.38939589694822,-0.00172274528655641,-0.179481314665651,0.0322135423141104,0.179481314665651
"INDPRO","Industrial Production Index [INDPRO]","cumulative_log_change","XGBoost","XGBoost","Boosting",1,1,1988-12-01,2018-11-01,2018-12-01,104.0681,0.000245001843542703,0.00147065543569624,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,516,516,"nrounds=1",0.0047726901631949,-0.00122565359215354,1.50222672795888e-06,0.00122565359215354,104.0936,104.221260912807,0.0245031858945532,0.14717373797255,0.294434822612666,1.78045089207401,-0.00122565359215354,-0.127660912807087,0.0162973086587388,0.127660912807087
"INDPRO","Industrial Production Index [INDPRO]","cumulative_log_change","BorutaRF","BorutaRF","FeatureSelection+Tree",1,1,1988-12-01,2018-11-01,2018-12-01,104.0681,0.000245001843542703,0.000894009649726296,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,516,26,"ntree=600;refresh=TRUE;last_refresh=1;source=boruta_confirmed",,-0.000649007806183593,4.21211132487241e-07,0.000649007806183593,104.0936,104.161179486409,0.0245031858945532,0.0894409395469919,0.294434822612666,1.078586837166,-0.000649007806183593,-0.0675794864087749,0.00456698698327379,0.0675794864087749
"INDPRO","Industrial Production Index [INDPRO]","cumulative_log_change","RW","RW","Baseline",1,2,1989-01-01,2018-12-01,2019-01-01,104.0936,-0.00666522303835837,0,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,359,1,1,"level RW;mode=cumulative_log_change",,-0.00666522303835837,4.44251981510632e-05,0.00666522303835837,103.4021,104.0936,-0.664305970780144,0,-7.68676618321734,0,-0.00666522303835837,-0.691500000000005,0.478172250000007,0.691500000000005
"INDPRO","Industrial Production Index [INDPRO]","cumulative_log_change","AR","AR(4)","Baseline",1,2,1989-01-01,2018-12-01,2019-01-01,104.0936,-0.00666522303835837,0.000570884042140005,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,4,4,"AR_lags=4;mode=cumulative_log_change",,-0.00723610708049837,5.23612456804387e-05,0.00723610708049837,103.4021,104.153042340856,-0.664305970780144,0.0571047027448479,-7.68676618321734,0.687412760015693,-0.00723610708049837,-0.750942340856412,0.563914399290907,0.750942340856412
