"horizon","forecast_number","window_start_index","window_end_index","origin_index","target_index","window_start_date","origin_date","target_date","actual","evaluation_included","target_feature_valid","origin_level","actual_level","target_mode"
1,1,12,371,371,372,1988-12-01,2018-11-01,2018-12-01,0.000245001843542703,TRUE,TRUE,104.0681,104.0936,"cumulative_log_change"
1,2,13,372,372,373,1989-01-01,2018-12-01,2019-01-01,-0.00666522303835837,TRUE,TRUE,104.0936,103.4021,"cumulative_log_change"
1,3,14,373,373,374,1989-02-01,2019-01-01,2019-02-01,-0.00547908849006618,TRUE,TRUE,103.4021,102.8371,"cumulative_log_change"
1,4,15,374,374,375,1989-03-01,2019-02-01,2019-03-01,0.000375280492541208,TRUE,TRUE,102.8371,102.8757,"cumulative_log_change"
1,5,16,375,375,376,1989-04-01,2019-03-01,2019-04-01,-0.00586597714116177,TRUE,TRUE,102.8757,102.274,"cumulative_log_change"
1,6,17,376,376,377,1989-05-01,2019-04-01,2019-05-01,0.00115309834632704,TRUE,TRUE,102.274,102.392,"cumulative_log_change"
1,7,18,377,377,378,1989-06-01,2019-05-01,2019-06-01,0.000444271950557962,TRUE,TRUE,102.392,102.4375,"cumulative_log_change"
1,8,19,378,378,379,1989-07-01,2019-06-01,2019-07-01,-0.00486060386936593,TRUE,TRUE,102.4375,101.9408,"cumulative_log_change"
1,9,20,379,379,380,1989-08-01,2019-07-01,2019-08-01,0.0068257248349024,TRUE,TRUE,101.9408,102.639,"cumulative_log_change"
1,10,21,380,380,381,1989-09-01,2019-08-01,2019-09-01,-0.00338944172338174,TRUE,TRUE,102.639,102.2917,"cumulative_log_change"
1,11,22,381,381,382,1989-10-01,2019-09-01,2019-10-01,-0.00847836266428104,TRUE,TRUE,102.2917,101.4281,"cumulative_log_change"
1,12,23,382,382,383,1989-11-01,2019-10-01,2019-11-01,0.00500676431521274,TRUE,TRUE,101.4281,101.9372,"cumulative_log_change"
1,13,24,383,383,384,1989-12-01,2019-11-01,2019-12-01,-0.00232668449446383,TRUE,TRUE,101.9372,101.7003,"cumulative_log_change"
1,14,25,384,384,385,1990-01-01,2019-12-01,2020-01-01,-0.00657513858004588,TRUE,TRUE,101.7003,101.0338,"cumulative_log_change"
1,15,26,385,385,386,1990-02-01,2020-01-01,2020-02-01,0.00335660145600958,TRUE,TRUE,101.0338,101.3735,"cumulative_log_change"
1,16,27,386,386,387,1990-03-01,2020-02-01,2020-03-01,-0.0399054262010248,TRUE,TRUE,101.3735,97.4078,"cumulative_log_change"
1,17,28,387,387,388,1990-04-01,2020-03-01,2020-04-01,-0.141422479015456,TRUE,TRUE,97.4078,84.5619,"cumulative_log_change"
1,18,29,388,388,389,1990-05-01,2020-04-01,2020-05-01,0.0164029145284585,TRUE,TRUE,84.5619,85.9604,"cumulative_log_change"
1,19,30,389,389,390,1990-06-01,2020-05-01,2020-06-01,0.0634724915918268,TRUE,TRUE,85.9604,91.5934,"cumulative_log_change"
1,20,31,390,390,391,1990-07-01,2020-06-01,2020-07-01,0.0367871123008001,TRUE,TRUE,91.5934,95.0256,"cumulative_log_change"
1,21,32,391,391,392,1990-08-01,2020-07-01,2020-08-01,0.00973196043125135,TRUE,TRUE,95.0256,95.9549,"cumulative_log_change"
1,22,33,392,392,393,1990-09-01,2020-08-01,2020-09-01,0.000125050932365589,TRUE,TRUE,95.9549,95.9669,"cumulative_log_change"
1,23,34,393,393,394,1990-10-01,2020-09-01,2020-10-01,0.00801742483730639,TRUE,TRUE,95.9669,96.7394,"cumulative_log_change"
1,24,35,394,394,395,1990-11-01,2020-10-01,2020-11-01,0.00353109679099894,TRUE,TRUE,96.7394,97.0816,"cumulative_log_change"
1,25,36,395,395,396,1990-12-01,2020-11-01,2020-12-01,0.0131128551110438,TRUE,TRUE,97.0816,98.363,"cumulative_log_change"
1,26,37,396,396,397,1991-01-01,2020-12-01,2021-01-01,0.00526452556660395,TRUE,TRUE,98.363,98.8822,"cumulative_log_change"
1,27,38,397,397,398,1991-02-01,2021-01-01,2021-02-01,-0.0336005769994232,TRUE,TRUE,98.8822,95.6149,"cumulative_log_change"
1,28,39,398,398,399,1991-03-01,2021-02-01,2021-03-01,0.0285657862324502,TRUE,TRUE,95.6149,98.3856,"cumulative_log_change"
1,29,40,399,399,400,1991-04-01,2021-03-01,2021-04-01,0.00175785787732075,TRUE,TRUE,98.3856,98.5587,"cumulative_log_change"
1,30,41,400,400,401,1991-05-01,2021-04-01,2021-05-01,0.00883475785639298,TRUE,TRUE,98.5587,99.4333,"cumulative_log_change"
1,31,42,401,401,402,1991-06-01,2021-05-01,2021-06-01,0.00366808956092424,TRUE,TRUE,99.4333,99.7987,"cumulative_log_change"
1,32,43,402,402,403,1991-07-01,2021-06-01,2021-07-01,0.0045308614450601,TRUE,TRUE,99.7987,100.2519,"cumulative_log_change"
1,33,44,403,403,404,1991-08-01,2021-07-01,2021-08-01,-0.00207892809413401,TRUE,TRUE,100.2519,100.0437,"cumulative_log_change"
1,34,45,404,404,405,1991-09-01,2021-08-01,2021-09-01,-0.0119236250388361,TRUE,TRUE,100.0437,98.8579,"cumulative_log_change"
1,35,46,405,405,406,1991-10-01,2021-09-01,2021-10-01,0.0133459909804463,TRUE,TRUE,98.8579,100.1861,"cumulative_log_change"
1,36,47,406,406,407,1991-11-01,2021-10-01,2021-11-01,0.00675749830216343,TRUE,TRUE,100.1861,100.8654,"cumulative_log_change"
1,37,48,407,407,408,1991-12-01,2021-11-01,2021-12-01,-0.00290710001300631,TRUE,TRUE,100.8654,100.5726,"cumulative_log_change"
1,38,49,408,408,409,1992-01-01,2021-12-01,2022-01-01,-0.00385538901389459,TRUE,TRUE,100.5726,100.1856,"cumulative_log_change"
1,39,50,409,409,410,1992-02-01,2022-01-01,2022-02-01,0.00617737993695133,TRUE,TRUE,100.1856,100.8064,"cumulative_log_change"
1,40,51,410,410,411,1992-03-01,2022-02-01,2022-03-01,0.00577952528935999,TRUE,TRUE,100.8064,101.3907,"cumulative_log_change"
1,41,52,411,411,412,1992-04-01,2022-03-01,2022-04-01,0.000486119714331323,TRUE,TRUE,101.3907,101.44,"cumulative_log_change"
1,42,53,412,412,413,1992-05-01,2022-04-01,2022-05-01,-0.00105043321531362,TRUE,TRUE,101.44,101.3335,"cumulative_log_change"
1,43,54,413,413,414,1992-06-01,2022-05-01,2022-06-01,-0.00311833868946998,TRUE,TRUE,101.3335,101.018,"cumulative_log_change"
1,44,55,414,414,415,1992-07-01,2022-06-01,2022-07-01,0.00202728497397242,TRUE,TRUE,101.018,101.223,"cumulative_log_change"
1,45,56,415,415,416,1992-08-01,2022-07-01,2022-08-01,-0.00125247582966992,TRUE,TRUE,101.223,101.0963,"cumulative_log_change"
1,46,57,416,416,417,1992-09-01,2022-08-01,2022-09-01,0.00193193236960543,TRUE,TRUE,101.0963,101.2918,"cumulative_log_change"
1,47,58,417,417,418,1992-10-01,2022-09-01,2022-10-01,-0.000384112746256271,TRUE,TRUE,101.2918,101.2529,"cumulative_log_change"
1,48,59,418,418,419,1992-11-01,2022-10-01,2022-11-01,-0.00294449347072856,TRUE,TRUE,101.2529,100.9552,"cumulative_log_change"
1,49,60,419,419,420,1992-12-01,2022-11-01,2022-12-01,-0.0118454007975251,TRUE,TRUE,100.9552,99.7664,"cumulative_log_change"
1,50,61,420,420,421,1993-01-01,2022-12-01,2023-01-01,0.0073760242218297,TRUE,TRUE,99.7664,100.505,"cumulative_log_change"
1,51,62,421,421,422,1993-02-01,2023-01-01,2023-02-01,0.00135821357158683,TRUE,TRUE,100.505,100.6416,"cumulative_log_change"
1,52,63,422,422,423,1993-03-01,2023-02-01,2023-03-01,0.00375777546565903,TRUE,TRUE,100.6416,101.0205,"cumulative_log_change"
1,53,64,423,423,424,1993-04-01,2023-03-01,2023-04-01,0.00229886863472384,TRUE,TRUE,101.0205,101.253,"cumulative_log_change"
1,54,65,424,424,425,1993-05-01,2023-04-01,2023-05-01,-0.0032089990224673,TRUE,TRUE,101.253,100.9286,"cumulative_log_change"
1,55,66,425,425,426,1993-06-01,2023-05-01,2023-06-01,-0.00804786480502262,TRUE,TRUE,100.9286,100.1196,"cumulative_log_change"
1,56,67,426,426,427,1993-07-01,2023-06-01,2023-07-01,0.00783085618377655,TRUE,TRUE,100.1196,100.9067,"cumulative_log_change"
1,57,68,427,427,428,1993-08-01,2023-07-01,2023-08-01,-0.000668166927796143,TRUE,TRUE,100.9067,100.8393,"cumulative_log_change"
1,58,69,428,428,429,1993-09-01,2023-08-01,2023-09-01,0.00180124530768744,TRUE,TRUE,100.8393,101.0211,"cumulative_log_change"
1,59,70,429,429,430,1993-10-01,2023-09-01,2023-10-01,-0.00548117904107315,TRUE,TRUE,101.0211,100.4689,"cumulative_log_change"
1,60,71,430,430,431,1993-11-01,2023-10-01,2023-11-01,0.00392385648842364,TRUE,TRUE,100.4689,100.8639,"cumulative_log_change"
1,61,72,431,431,432,1993-12-01,2023-11-01,2023-12-01,-0.00258901106065057,TRUE,TRUE,100.8639,100.6031,"cumulative_log_change"
1,62,73,432,432,433,1994-01-01,2023-12-01,2024-01-01,-0.0138202848856546,TRUE,TRUE,100.6031,99.2223,"cumulative_log_change"
1,63,74,433,433,434,1994-02-01,2024-01-01,2024-02-01,0.0106533450234574,TRUE,TRUE,99.2223,100.285,"cumulative_log_change"
1,64,75,434,434,435,1994-03-01,2024-02-01,2024-03-01,0.00171862004766066,TRUE,TRUE,100.285,100.4575,"cumulative_log_change"
1,65,76,435,435,436,1994-04-01,2024-03-01,2024-04-01,-0.00213352387770893,TRUE,TRUE,100.4575,100.2434,"cumulative_log_change"
1,66,77,436,436,437,1994-05-01,2024-04-01,2024-05-01,0.0061619317981485,TRUE,TRUE,100.2434,100.863,"cumulative_log_change"
1,67,78,437,437,438,1994-06-01,2024-05-01,2024-06-01,0.000307300368700858,TRUE,TRUE,100.863,100.894,"cumulative_log_change"
1,68,79,438,438,439,1994-07-01,2024-06-01,2024-07-01,-0.00914330431600341,TRUE,TRUE,100.894,99.9757,"cumulative_log_change"
1,69,80,439,439,440,1994-08-01,2024-07-01,2024-08-01,0.00454277237198397,TRUE,TRUE,99.9757,100.4309,"cumulative_log_change"
1,70,81,440,440,441,1994-09-01,2024-08-01,2024-09-01,-0.00621758071865575,TRUE,TRUE,100.4309,99.8084,"cumulative_log_change"
1,71,82,441,441,442,1994-10-01,2024-09-01,2024-10-01,-0.00340128360164549,TRUE,TRUE,99.8084,99.4695,"cumulative_log_change"
