"model","model_family","horizon","n_evaluation","RMSE","MAE","bias","correlation"
"XGBoost","Boosting",1,90,0.0189790064049216,0.00839284145206707,-0.00143904956220573,-0.0502777740428489
"BorutaRF","FeatureSelection+Tree",1,90,0.0193298954958997,0.00815917881775686,-0.00108777005306747,0.069955546613887
"RandomForest","Tree",1,90,0.0202523917164858,0.00874369978587496,-0.000192443745486339,-0.0508709298071652
"AR(4)","Baseline",1,90,0.0229340208732075,0.0105235885757875,0.000796435664880366,-0.207024700385684
"Ensemble_Mean","Ensemble",1,90,0.0231450256021545,0.00965975198748106,9.66909215981571e-05,-0.0380391377401688
"Ensemble_InvRMSE","Ensemble",1,90,0.0234235365624184,0.00968378604413559,0.000157903518420377,-0.0410033557399935
"RW","Baseline",1,90,0.0242372371335034,0.0123125213857162,6.19027154463344e-06,0.171700140834273
"Ensemble_Median","Ensemble",1,90,0.0248799771745488,0.00958369552665123,0.000163274817292843,-0.0655790802992504
"ElasticNet","Regularization",1,90,0.0265078399868899,0.010284876415697,0.00025305551789499,-0.141354549649072
"LASSO","Regularization",1,90,0.0266609397678549,0.0104112871994007,0.000110030958877561,-0.142493917783519
"Ridge","Regularization",1,90,0.0293235907585943,0.0105133092763532,0.00124034303188858,-0.0580891978238883
"Factor","Factor",1,90,0.0326009214209307,0.0114246930898243,0.00118342621005683,0.00997688534337065
"XGBoost","Boosting",3,90,0.0188986636355299,0.00830638121684492,-0.00127488538711385,-0.0368190733869516
"RandomForest","Tree",3,90,0.0200344419888925,0.00932771764358349,0.000872767644758208,-0.231328435566062
"BorutaRF","FeatureSelection+Tree",3,90,0.0200954623991684,0.00913457473342157,-0.000237949536626083,-0.202786710663182
"Ridge","Regularization",3,90,0.0202416963950404,0.00885717099507313,-0.000644758028955204,-0.326128478628705
"ElasticNet","Regularization",3,90,0.0210650241753878,0.00890792534867371,-0.000443777140171209,-0.281446918158508
"Ensemble_Median","Ensemble",3,90,0.0210798262552654,0.00898478744355905,-0.000394863656090417,-0.284302841341555
"Ensemble_Mean","Ensemble",3,90,0.0210875117217716,0.00896796852853789,-0.000209642224402074,-0.273295703079814
"Ensemble_InvRMSE","Ensemble",3,90,0.0211029534898194,0.00895089700449784,-0.000170361410331455,-0.271380764889703
"LASSO","Regularization",3,90,0.0212468534943781,0.00895445670749519,-0.0003809899989949,-0.283607077897506
"AR(4)","Baseline",3,90,0.0214896478462219,0.00932409384394554,-4.19977398892128e-05,-0.194780328415412
"Factor","Factor",3,90,0.0241124358974146,0.0100816534644765,0.000192755301414205,-0.27505647403484
"RW","Baseline",3,90,0.0289500920112682,0.0128220497177866,7.20548659593787e-05,-0.183311747471381
"Ensemble_Median","Ensemble",6,90,0.0189189761708,0.00837963417777477,-0.00130446009458161,0.0337792761976111
"RandomForest","Tree",6,90,0.0190552253511376,0.0088725989258117,-0.000133252928398755,0.0017327411682397
"XGBoost","Boosting",6,90,0.019169927332082,0.00877360801626281,-0.00097249878212708,-0.0379205541902361
"Ridge","Regularization",6,90,0.0193256993780055,0.00853883047603257,-0.00130790205784576,-0.0468750802161672
"Ensemble_Mean","Ensemble",6,90,0.0194201989022755,0.00898672474531236,-0.000583478801386355,0.0616300773380635
"Ensemble_InvRMSE","Ensemble",6,90,0.0194310875000405,0.00899697746626653,-0.000556232895171849,0.0607004696451933
"AR(4)","Baseline",6,90,0.0195185431377454,0.00887987057400686,-0.00109025074618664,0.0290172367657158
"BorutaRF","FeatureSelection+Tree",6,90,0.0199468772736458,0.00994404623696906,-0.00020716992071899,-0.0609825257511863
"Factor","Factor",6,90,0.0204273015484916,0.00960367270980046,-0.000787877595713726,0.00134702200969385
"LASSO","Regularization",6,90,0.0232810448658543,0.00967689914181124,-0.000411297629377132,-0.0285998658397438
"RW","Baseline",6,90,0.0262312756974962,0.0125488898531853,-3.28452284715416e-06,0.0286023286338839
"ElasticNet","Regularization",6,90,0.0309747740827534,0.012027317056185,-0.00033777502926196,0.132164932120735
"ElasticNet","Regularization",12,90,0.0188971353410735,0.00824311121443299,-0.00137654159237308,-0.0694832778412585
"LASSO","Regularization",12,90,0.0188971353410735,0.00824311121443299,-0.00137654159237308,-0.0694832778412585
"Ridge","Regularization",12,90,0.0189050915562343,0.00824174042028019,-0.00129770753189337,-0.0990170439406848
"XGBoost","Boosting",12,90,0.0189065450498445,0.00829910030771919,-0.00127315604898796,0.00416846418161584
"Ensemble_Median","Ensemble",12,90,0.0189081211135751,0.00825858987293957,-0.00132543334438854,-0.111823188367399
"AR(4)","Baseline",12,90,0.0189700210707379,0.00842489915530166,-0.001356691547427,-0.038664520568593
"Ensemble_InvRMSE","Ensemble",12,90,0.0190801733812245,0.00851180908066531,-0.000631044362424626,-0.0459513009670447
"Ensemble_Mean","Ensemble",12,90,0.019081793633271,0.00850796076414318,-0.000629831866666835,-0.04829233865745
"RandomForest","Tree",12,90,0.0193439814658727,0.00914978365558574,0.000720436368464384,-0.101806933608608
"Factor","Factor",12,90,0.0197332583966951,0.00907407289150516,-0.00114593529186003,-0.0910222834403858
"BorutaRF","FeatureSelection+Tree",12,90,0.0205721233412167,0.0107571016459717,0.00155730499340751,-0.00649123591600412
"RW","Baseline",12,90,0.0267473233986284,0.0134729281374319,-0.000119654556958901,-0.0073680661385609
