"ensemble","horizon","forecast_origin","target_date","member_model","weight","history_count"
"Ensemble_Mean",1,2026-05-01,2026-06-01,"RW",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"AR(4)",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"Ridge",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"LASSO",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"ElasticNet",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"Factor",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"RandomForest",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"XGBoost",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"BorutaRF",0.111111111111111,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"RW",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"AR(4)",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"Ridge",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"LASSO",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"ElasticNet",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"Factor",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"RandomForest",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"XGBoost",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"BorutaRF",,0
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"RW",0.137882909667715,90
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"AR(4)",0.113220084928283,90
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"Ridge",0.088549584953219,90
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"LASSO",0.0973931081807659,90
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"ElasticNet",0.0979556158591489,90
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"Factor",0.0796478037379795,90
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"RandomForest",0.128329870004896,90
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"XGBoost",0.121325127382652,90
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"BorutaRF",0.135695895285341,90
"Ensemble_Mean",3,2026-05-01,2026-08-01,"RW",0.111111111111111,0
"Ensemble_Mean",3,2026-05-01,2026-08-01,"AR(4)",0.111111111111111,0
"Ensemble_Mean",3,2026-05-01,2026-08-01,"Ridge",0.111111111111111,0
"Ensemble_Mean",3,2026-05-01,2026-08-01,"LASSO",0.111111111111111,0
