"track","track_label","horizon","loss","n_evaluation","n_models","n_survivors","alpha","confidence_level","bootstrap_samples","block_length","statistic","final_p_value","minimum_survivor_mcs_p_value","mcs_package_version","mcs_output_format","extraction_status","audit_status","audit_failed","audit_critical_failed","status","status_message"
"monthly_transformed","Target-month transformed change",1,"SE",90,12,12,0.1,0.9,5000,6,"Tmax",,0.6628,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",1,"AE",90,12,11,0.1,0.9,5000,4,"Tmax",,0.3316,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",3,"SE",90,12,12,0.1,0.9,5000,8,"Tmax",,0.3178,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",3,"AE",90,12,12,0.1,0.9,5000,9,"Tmax",,0.115,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",6,"SE",90,12,11,0.1,0.9,5000,9,"Tmax",,0.5862,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",6,"AE",90,12,12,0.1,0.9,5000,12,"Tmax",,0.2882,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",12,"SE",90,12,11,0.1,0.9,5000,13,"Tmax",,0.4546,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",12,"AE",90,12,10,0.1,0.9,5000,13,"Tmax",,0.2374,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Industrial Production Index [INDPRO] cumulative transformed change / reconstructed level",1,"SE",90,12,12,0.1,0.9,5000,3,"Tmax",,0.5036,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Industrial Production Index [INDPRO] cumulative transformed change / reconstructed level",1,"AE",90,12,11,0.1,0.9,5000,4,"Tmax",,0.2286,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Industrial Production Index [INDPRO] cumulative transformed change / reconstructed level",3,"SE",90,12,12,0.1,0.9,5000,12,"Tmax",,0.2058,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Industrial Production Index [INDPRO] cumulative transformed change / reconstructed level",3,"AE",90,12,11,0.1,0.9,5000,9,"Tmax",,0.1812,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Industrial Production Index [INDPRO] cumulative transformed change / reconstructed level",6,"SE",90,12,12,0.1,0.9,5000,7,"Tmax",,0.524,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Industrial Production Index [INDPRO] cumulative transformed change / reconstructed level",6,"AE",90,12,11,0.1,0.9,5000,11,"Tmax",,0.2672,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Industrial Production Index [INDPRO] cumulative transformed change / reconstructed level",12,"SE",90,12,12,0.1,0.9,5000,13,"Tmax",,0.3234,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Industrial Production Index [INDPRO] cumulative transformed change / reconstructed level",12,"AE",90,12,12,0.1,0.9,5000,14,"Tmax",,0.107,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
