"horizon","model","model_family","n_evaluation","RMSE","MAE","bias","correlation","benchmark_RMSE","benchmark_MAE","relative_RMSE","relative_MAE","RMSE_rank","MAE_rank"
1,"XGBoost","Boosting",90,0.0189790064049216,0.00839284145206707,-0.00143904956220573,-0.0502777740428489,0.0242372371335034,0.0123125213857162,0.783051562369982,0.681650913662869,1,2
1,"BorutaRF","FeatureSelection+Tree",90,0.0193298954958997,0.00815917881775686,-0.00108777005306747,0.069955546613887,0.0242372371335034,0.0123125213857162,0.797528835049429,0.662673270742283,2,1
1,"RandomForest","Tree",90,0.0202523917164858,0.00874369978587496,-0.000192443745486339,-0.0508709298071652,0.0242372371335034,0.0123125213857162,0.835589948018073,0.710146972497327,3,3
1,"AR(4)","Baseline",90,0.0229340208732075,0.0105235885757875,0.000796435664880366,-0.207024700385684,0.0242372371335034,0.0123125213857162,0.946230824366759,0.854706217038201,4,10
1,"Ensemble_Mean","Ensemble",90,0.0231450256021545,0.00965975198748106,9.66909215981571e-05,-0.0380391377401688,0.0242372371335034,0.0123125213857162,0.954936632202229,0.784547022081713,5,5
1,"Ensemble_InvRMSE","Ensemble",90,0.0234235365624184,0.00968378604413559,0.000157903518420377,-0.0410033557399935,0.0242372371335034,0.0123125213857162,0.966427668029859,0.786499023292644,6,6
1,"RW","Baseline",90,0.0242372371335034,0.0123125213857162,6.19027154463344e-06,0.171700140834273,0.0242372371335034,0.0123125213857162,1,1,7,12
1,"Ensemble_Median","Ensemble",90,0.0248799771745488,0.00958369552665123,0.000163274817292843,-0.0655790802992504,0.0242372371335034,0.0123125213857162,1.02651870085295,0.778369858327255,8,4
1,"ElasticNet","Regularization",90,0.0265078399868899,0.010284876415697,0.00025305551789499,-0.141354549649072,0.0242372371335034,0.0123125213857162,1.09368241276345,0.835318461060987,9,7
1,"LASSO","Regularization",90,0.0266609397678549,0.0104112871994007,0.000110030958877561,-0.142493917783519,0.0242372371335034,0.0123125213857162,1.09999913030521,0.84558530890991,10,8
1,"Ridge","Regularization",90,0.0293235907585943,0.0105133092763532,0.00124034303188858,-0.0580891978238883,0.0242372371335034,0.0123125213857162,1.20985698976638,0.853871351529158,11,9
1,"Factor","Factor",90,0.0326009214209307,0.0114246930898243,0.00118342621005683,0.00997688534337065,0.0242372371335034,0.0123125213857162,1.34507581212159,0.927892243344899,12,11
3,"XGBoost","Boosting",90,0.0188986636355299,0.00830638121684492,-0.00127488538711385,-0.0368190733869516,0.0289500920112682,0.0128220497177866,0.652801505023679,0.647820075547079,1,1
3,"RandomForest","Tree",90,0.0200344419888925,0.00932771764358349,0.000872767644758208,-0.231328435566062,0.0289500920112682,0.0128220497177866,0.692033793229208,0.727474767988473,2,10
3,"BorutaRF","FeatureSelection+Tree",90,0.0200954623991684,0.00913457473342157,-0.000237949536626083,-0.202786710663182,0.0289500920112682,0.0128220497177866,0.694141572722695,0.712411426758873,3,8
