"target_code","target_name","track","track_label","horizon","forecast_number","origin_date","seed","selection_source","n_selected","max_runs","feature"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"AAAFFM_L3"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"AWHMAN_L0"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"AWHMAN_L2"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"AWHMAN_L3"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"BAAFFM_L2"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"BAAFFM_L3"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"BUSINVx_L0"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"CES0600000007_L0"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"CES0600000007_L2"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"CES0600000007_L3"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"COMPAPFFx_L0"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"COMPAPFFx_L1"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"CPIAUCSL_L0"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"CPITRNSL_L0"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"CPIULFSL_L0"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"CUSR0000SA0L2_L0"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","monthly_transformed","Target-month transformed change",1,1,2018-11-01,21161717,"boruta_confirmed",41,100,"CUSR0000SA0L5_L0"
