"horizon","forecast_number","window_start_index","window_end_index","origin_index","target_index","window_start_date","origin_date","target_date","actual","evaluation_included","target_feature_valid","origin_level","actual_level","target_mode"
1,1,12,371,371,372,1988-12-01,2018-11-01,2018-12-01,0.000691566327828852,TRUE,TRUE,102.63,102.701,"cumulative_log_change"
1,2,13,372,372,373,1989-01-01,2018-12-01,2019-01-01,-0.000516194392734093,TRUE,TRUE,102.701,102.648,"cumulative_log_change"
1,3,14,373,373,374,1989-02-01,2019-01-01,2019-02-01,0.00182982667707599,TRUE,TRUE,102.648,102.836,"cumulative_log_change"
1,4,15,374,374,375,1989-03-01,2019-02-01,2019-03-01,0.00226318058766761,TRUE,TRUE,102.836,103.069,"cumulative_log_change"
1,5,16,375,375,376,1989-04-01,2019-03-01,2019-04-01,0.00281937317683045,TRUE,TRUE,103.069,103.36,"cumulative_log_change"
1,6,17,376,376,377,1989-05-01,2019-04-01,2019-05-01,0.00072535606072055,TRUE,TRUE,103.36,103.435,"cumulative_log_change"
1,7,18,377,377,378,1989-06-01,2019-05-01,2019-06-01,0.000473615288262508,TRUE,TRUE,103.435,103.484,"cumulative_log_change"
1,8,19,378,378,379,1989-07-01,2019-06-01,2019-07-01,0.00133265111028624,TRUE,TRUE,103.484,103.622,"cumulative_log_change"
1,9,20,379,379,380,1989-08-01,2019-07-01,2019-08-01,0.000463114841459777,TRUE,TRUE,103.622,103.67,"cumulative_log_change"
1,10,21,380,380,381,1989-09-01,2019-08-01,2019-09-01,0.000607512928334053,TRUE,TRUE,103.67,103.733,"cumulative_log_change"
1,11,22,381,381,382,1989-10-01,2019-09-01,2019-10-01,0.00177221332201327,TRUE,TRUE,103.733,103.917,"cumulative_log_change"
1,12,23,382,382,383,1989-11-01,2019-10-01,2019-11-01,0.00102913816365113,TRUE,TRUE,103.917,104.024,"cumulative_log_change"
1,13,24,383,383,384,1989-12-01,2019-11-01,2019-12-01,0.00271683209961715,TRUE,TRUE,104.024,104.307,"cumulative_log_change"
1,14,25,384,384,385,1990-01-01,2019-12-01,2020-01-01,0.00175289919738297,TRUE,TRUE,104.307,104.49,"cumulative_log_change"
1,15,26,385,385,386,1990-02-01,2020-01-01,2020-02-01,0.000794019069473961,TRUE,TRUE,104.49,104.573,"cumulative_log_change"
1,16,27,386,386,387,1990-03-01,2020-02-01,2020-03-01,-0.00289211287374247,TRUE,TRUE,104.573,104.271,"cumulative_log_change"
1,17,28,387,387,388,1990-04-01,2020-03-01,2020-04-01,-0.00416128687207085,TRUE,TRUE,104.271,103.838,"cumulative_log_change"
1,18,29,388,388,389,1990-05-01,2020-04-01,2020-05-01,0.00100105889580338,TRUE,TRUE,103.838,103.942,"cumulative_log_change"
1,19,30,389,389,390,1990-06-01,2020-05-01,2020-06-01,0.00315063753601841,TRUE,TRUE,103.942,104.27,"cumulative_log_change"
1,20,31,390,390,391,1990-07-01,2020-06-01,2020-07-01,0.00294951566010493,TRUE,TRUE,104.27,104.578,"cumulative_log_change"
1,21,32,391,391,392,1990-08-01,2020-07-01,2020-08-01,0.00278828338470749,TRUE,TRUE,104.578,104.87,"cumulative_log_change"
1,22,33,392,392,393,1990-09-01,2020-08-01,2020-09-01,0.00178157216043129,TRUE,TRUE,104.87,105.057,"cumulative_log_change"
1,23,34,393,393,394,1990-10-01,2020-09-01,2020-10-01,0.000894352320231384,TRUE,TRUE,105.057,105.151,"cumulative_log_change"
1,24,35,394,394,395,1990-11-01,2020-10-01,2020-11-01,0.00101706684812619,TRUE,TRUE,105.151,105.258,"cumulative_log_change"
1,25,36,395,395,396,1990-12-01,2020-11-01,2020-12-01,0.00418095291839826,TRUE,TRUE,105.258,105.699,"cumulative_log_change"
1,26,37,396,396,397,1991-01-01,2020-12-01,2021-01-01,0.00422949376284176,TRUE,TRUE,105.699,106.147,"cumulative_log_change"
1,27,38,397,397,398,1991-02-01,2021-01-01,2021-02-01,0.00332005929313706,TRUE,TRUE,106.147,106.5,"cumulative_log_change"
1,28,39,398,398,399,1991-03-01,2021-02-01,2021-03-01,0.00518839490508505,TRUE,TRUE,106.5,107.054,"cumulative_log_change"
1,29,40,399,399,400,1991-04-01,2021-03-01,2021-04-01,0.00525453992768821,TRUE,TRUE,107.054,107.618,"cumulative_log_change"
1,30,41,400,400,401,1991-05-01,2021-04-01,2021-05-01,0.00516236612869481,TRUE,TRUE,107.618,108.175,"cumulative_log_change"
1,31,42,401,401,402,1991-06-01,2021-05-01,2021-06-01,0.00539333365332162,TRUE,TRUE,108.175,108.76,"cumulative_log_change"
1,32,43,402,402,403,1991-07-01,2021-06-01,2021-07-01,0.004550132611854,TRUE,TRUE,108.76,109.256,"cumulative_log_change"
1,33,44,403,403,404,1991-08-01,2021-07-01,2021-08-01,0.00381857678639808,TRUE,TRUE,109.256,109.674,"cumulative_log_change"
1,34,45,404,404,405,1991-09-01,2021-08-01,2021-09-01,0.00327707978023106,TRUE,TRUE,109.674,110.034,"cumulative_log_change"
1,35,46,405,405,406,1991-10-01,2021-09-01,2021-10-01,0.00659434625729194,TRUE,TRUE,110.034,110.762,"cumulative_log_change"
1,36,47,406,406,407,1991-11-01,2021-10-01,2021-11-01,0.00664083570012863,TRUE,TRUE,110.762,111.5,"cumulative_log_change"
1,37,48,407,407,408,1991-12-01,2021-11-01,2021-12-01,0.00617818506737233,TRUE,TRUE,111.5,112.191,"cumulative_log_change"
