"target_code","target_name","model_key","model","model_family","horizon","forecast_number","window_start_date","origin_date","target_date","actual","prediction","evaluation_included","status","status_message","missing_before","short_gap_imputed_count","final_imputed_count","dropped_predictor_count","missing_after","em_iterations","em_converged","em_last_change","training_observations","n_features","n_selected","tuning_parameter","validation_loss","error","squared_error","absolute_error"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","RW","RW","Baseline",1,1,1988-12-01,2018-11-01,2018-12-01,0.000691566327828852,0.000341089051912213,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,360,1,1,,,0.000350477275916639,1.22834320933948e-07,0.000350477275916639
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","AR","AR(4)","Baseline",1,1,1988-12-01,2018-11-01,2018-12-01,0.000691566327828852,0.00102871408020804,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,4,4,"AR_lags=4",,-0.000337147752379192,1.13668606934341e-07,0.000337147752379192
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","Ridge","Ridge","Regularization",1,1,1988-12-01,2018-11-01,2018-12-01,0.000691566327828852,9.21469096191835e-05,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,516,"0.0082832992",1.67652427142962e-06,0.000599419418209668,3.59303638926817e-07,0.000599419418209668
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","LASSO","LASSO","Regularization",1,1,1988-12-01,2018-11-01,2018-12-01,0.000691566327828852,-0.000404525162141251,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,55,"0.00010698292",1.78456848158249e-06,0.0010960914899701,1.20141655438488e-06,0.0010960914899701
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","ElasticNet","ElasticNet","Regularization",1,1,1988-12-01,2018-11-01,2018-12-01,0.000691566327828852,-0.000329858012097222,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,67,"0.00021396584",1.80299213706518e-06,0.00102142433992607,1.04330768219342e-06,0.00102142433992607
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","Factor","Factor","Factor",1,1,1988-12-01,2018-11-01,2018-12-01,0.000691566327828852,0.000575411020380039,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,20,5,"factor_lags=1",-4523.32855246436,0.000116155307448813,1.34920554485283e-08,0.000116155307448813
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","RandomForest","RandomForest","Tree",1,1,1988-12-01,2018-11-01,2018-12-01,0.000691566327828852,0.000989554240469439,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,516,"ntree=600;mtry=22",,-0.000297987912640587,8.87967960798944e-08,0.000297987912640587
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","XGBoost","XGBoost","Boosting",1,1,1988-12-01,2018-11-01,2018-12-01,0.000691566327828852,0.000521487439982593,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,516,"nrounds=61",0.00141659312296713,0.000170078887846259,2.89268280910203e-08,0.000170078887846259
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","BorutaRF","BorutaRF","FeatureSelection+Tree",1,1,1988-12-01,2018-11-01,2018-12-01,0.000691566327828852,0.000863083274195204,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,41,"ntree=600;refresh=TRUE;last_refresh=1;source=boruta_confirmed",,-0.000171516946366352,2.94180628908381e-08,0.000171516946366352
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","RW","RW","Baseline",1,2,1989-01-01,2018-12-01,2019-01-01,-0.000516194392734093,0.000691566327828852,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,360,1,1,,,-0.00120776072056294,1.45868595813472e-06,0.00120776072056294
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","AR","AR(4)","Baseline",1,2,1989-01-01,2018-12-01,2019-01-01,-0.000516194392734093,0.00134518456883498,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,4,4,"AR_lags=4",,-0.00186137896156907,3.46473163857196e-06,0.00186137896156907
