"ensemble","horizon","forecast_origin","target_date","member_model","weight","history_count"
"Ensemble_Mean",1,2026-05-01,2026-06-01,"RW",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"AR(4)",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"Ridge",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"LASSO",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"ElasticNet",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"Factor",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"RandomForest",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"XGBoost",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"BorutaRF",0.111111111111111,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"RW",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"AR(4)",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"Ridge",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"LASSO",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"ElasticNet",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"Factor",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"RandomForest",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"XGBoost",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"BorutaRF",,0
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"RW",0.0694416184231165,90
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"AR(4)",0.125964518281167,90
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"Ridge",0.0982789560836841,90
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"LASSO",0.117358779506663,90
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"ElasticNet",0.115057037037564,90
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"Factor",0.119666152169633,90
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"RandomForest",0.116659841229937,90
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"XGBoost",0.113985502976061,90
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"BorutaRF",0.123587594292175,90
"Ensemble_Mean",3,2026-05-01,2026-08-01,"RW",0.111111111111111,0
"Ensemble_Mean",3,2026-05-01,2026-08-01,"AR(4)",0.111111111111111,0
"Ensemble_Mean",3,2026-05-01,2026-08-01,"Ridge",0.111111111111111,0
"Ensemble_Mean",3,2026-05-01,2026-08-01,"LASSO",0.111111111111111,0
