"target_code","target_name","target_mode","forecast_origin","target_date","horizon","model_key","model","model_family","latest_observed_level","origin_value_status","target_response_forecast","cumulative_log_forecast","cumulative_percent_forecast","annualized_percent_forecast","raw_level_forecast","level_forecast_formula","level_RMSE","relative_level_RMSE","level_RMSE_rank","target_response_RMSE","relative_target_response_RMSE","target_response_RMSE_rank","cumulative_log_RMSE","cumulative_log_RMSE_rank","window_start_date","window_size","training_observations","n_features","n_selected","tuning_parameter","validation_loss","missing_before","short_gap_imputed_count","final_imputed_count","dropped_predictor_count","total_imputed_count","missing_after","em_iterations","em_converged","em_last_change","execution_profile","status","status_message","latest_origin_observed","prediction"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","cumulative_log_change",2026-05-01,2026-06-01,1,"AR","AR(4)","Baseline",131.527,"Observed",0.00346808580237708,0.00346808580237708,0.347410657011116,4.24951575338055,131.983938814847,"forecast_level = origin_level * exp(predicted_log_change)",0.221977265864257,0.547095015829644,1,0.0019314767520052,0.55127919648067,1,0.0019314767520052,1,1996-06-01,360,356,4,4,"AR_lags=4;mode=cumulative_log_change",,65,65,0,0,65,0,0,TRUE,0,"full","ok",,TRUE,0.00346808580237708
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","cumulative_log_change",2026-05-01,2026-06-01,1,"BorutaRF","BorutaRF","FeatureSelection+Tree",131.527,"Observed",0.00213701926328143,0.00213701926328143,0.213930431639153,2.59758732891586,131.808376278822,"forecast_level = origin_level * exp(predicted_log_change)",0.226473550261478,0.558176757799456,2,0.00196862427844033,0.561881787737926,2,0.00196862427844033,2,1996-06-01,360,356,516,47,"ntree=600;refresh=TRUE;last_refresh=1;source=boruta_confirmed",,65,65,0,0,65,0,0,TRUE,0,"full","ok",,TRUE,0.00213701926328143
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","cumulative_log_change",2026-05-01,2026-06-01,1,"Factor","Factor","Factor",131.527,"Observed",0.00276760114668163,0.00276760114668163,0.277143449030826,3.37688623926506,131.891518464207,"forecast_level = origin_level * exp(predicted_log_change)",0.2330976601749,0.574502832921748,3,0.00203313580512492,0.580294570888178,3,0.00203313580512492,3,1996-06-01,360,356,20,5,"factor_lags=1",-4478.01638760922,65,65,0,0,65,0,0,TRUE,0,"full","ok",,TRUE,0.00276760114668163
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","cumulative_log_change",2026-05-01,2026-06-01,1,"Ensemble_Median","Ensemble_Median","Ensemble",131.527,"Observed",0.00243381987438531,0.00243381987438531,0.243678401821867,2.96365114915182,131.847502891564,"forecast_level = origin_level * exp(predicted_log_change)",0.237235122831605,0.584700206913411,4,0.00207360430772636,0.591845030179874,5,0.00207360430772636,5,1996-06-01,360,,,9,"members=9;history=0",,65,65,0,0,65,0,0,TRUE,0,"full","ok",,TRUE,0.00243381987438531
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","cumulative_log_change",2026-05-01,2026-06-01,1,"RandomForest","RandomForest","Tree",131.527,"Observed",0.00214261850981428,0.00214261850981428,0.214491555712604,2.60448119073746,131.809114308482,"forecast_level = origin_level * exp(predicted_log_change)",0.237879344625094,0.586287984521781,5,0.00208552948531851,0.59524869647514,6,0.00208552948531851,6,1996-06-01,360,356,516,516,"ntree=600;mtry=22",,65,65,0,0,65,0,0,TRUE,0,"full","ok",,TRUE,0.00214261850981428
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","cumulative_log_change",2026-05-01,2026-06-01,1,"LASSO","LASSO","Regularization",131.527,"Observed",0.00243381987438531,0.00243381987438531,0.243678401821867,2.96365114915182,131.847502891564,"forecast_level = origin_level * exp(predicted_log_change)",0.238085257811799,0.586795487295551,6,0.00207310897114259,0.591703651955361,4,0.00207310897114259,4,1996-06-01,360,356,516,17,"0.00019495132",5.35601218812586e-06,65,65,0,0,65,0,0,TRUE,0,"full","ok",,TRUE,0.00243381987438531
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","cumulative_log_change",2026-05-01,2026-06-01,1,"Ensemble_InvRMSE","Ensemble_InvRMSE","Ensemble",131.527,"Observed",0.00240345218752921,0.00240345218752921,0.240634279408569,2.92613676992861,131.843499048678,"forecast_level = origin_level * exp(predicted_log_change)",0.24068565871503,0.593204550709218,7,0.00209718859023126,0.598576420705481,7,0.00209718859023126,7,1996-06-01,360,,,9,"members=9;history=90",,65,65,0,0,65,0,0,TRUE,0,"full","ok",,TRUE,0.00240345218752921
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","cumulative_log_change",2026-05-01,2026-06-01,1,"ElasticNet","ElasticNet","Regularization",131.527,"Observed",0.00242910682797902,0.00242910682797902,0.243205949826963,2.95782804422839,131.846881489629,"forecast_level = origin_level * exp(predicted_log_change)",0.24275974412816,0.598316433619886,8,0.00211458199256579,0.603540819501939,8,0.00211458199256579,8,1996-06-01,360,356,516,30,"0.00033911743",5.44241916409605e-06,65,65,0,0,65,0,0,TRUE,0,"full","ok",,TRUE,0.00242910682797902
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","cumulative_log_change",2026-05-01,2026-06-01,1,"XGBoost","XGBoost","Boosting",131.527,"Observed",0.00259113940410316,0.00259113940410316,0.25944993071747,3.15821305981998,131.868246710375,"forecast_level = origin_level * exp(predicted_log_change)",0.243610209905628,0.600412529299662,9,0.00213446036807597,0.609214475613626,9,0.00213446036807597,9,1996-06-01,360,356,516,516,"nrounds=27",0.00255301248486731,65,65,0,0,65,0,0,TRUE,0,"full","ok",,TRUE,0.00259113940410316
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]","cumulative_log_change",2026-05-01,2026-06-01,1,"Ensemble_Mean","Ensemble_Mean","Ensemble",131.527,"Observed",0.00229153422684827,0.00229153422684827,0.229416179807784,2.78799815190978,131.828744218816,"forecast_level = origin_level * exp(predicted_log_change)",0.24615799955179,0.606691924675448,10,0.00214350443713971,0.61179582023566,10,0.00214350443713971,10,1996-06-01,360,,,9,"members=9;history=0",,65,65,0,0,65,0,0,TRUE,0,"full","ok",,TRUE,0.00229153422684827
