"track","track_label","horizon","loss","model","model_family","n_evaluation","mean_loss","loss_rank","in_mcs","mcs_rank","mcs_stage_p_value","mcs_p_value","mcs_statistic_value","mcs_detail_status","mcs_output_format","mcs_statistic","alpha","confidence_level","bootstrap_samples","block_length","mcs_package_version","mcs_object_class","mcs_status","status_message"
"monthly_transformed","Target-month transformed change",1,"SE","AR(4)","Baseline",90,3.73060244353656e-06,1,TRUE,,1,1,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,7,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",1,"SE","BorutaRF","FeatureSelection+Tree",90,3.79048570663818e-06,2,TRUE,,0.8472,0.8852,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,7,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",1,"SE","Ensemble_InvRMSE","Ensemble",90,3.82027649254329e-06,3,TRUE,,0.8628,0.8852,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,7,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",1,"SE","Ensemble_Mean","Ensemble",90,3.86139710734189e-06,4,TRUE,,0.755,0.8852,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,7,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",1,"SE","Ensemble_Median","Ensemble",90,4.02187522147657e-06,5,TRUE,,0.5332,0.8852,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,7,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",1,"SE","Factor","Factor",90,4.13364120208097e-06,6,TRUE,,0.752,0.8644,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,7,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",1,"SE","RW","Baseline",90,4.28074706067187e-06,7,TRUE,,0.8852,0.8852,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,7,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",1,"SE","LASSO","Regularization",90,4.29778080623189e-06,8,TRUE,,0.8644,0.8644,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,7,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",1,"SE","XGBoost","Boosting",90,4.36327082316632e-06,9,TRUE,,0.7536,0.8644,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,7,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",1,"SE","RandomForest","Tree",90,4.37841271390939e-06,10,TRUE,,0.859,0.8644,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,7,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",1,"SE","ElasticNet","Regularization",90,4.4714570032835e-06,11,TRUE,,0.598,0.598,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,7,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",1,"SE","Ridge","Regularization",90,6.12850240883914e-06,12,TRUE,,0.178,0.178,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,7,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",1,"AE","RW","Baseline",90,0.00145694992248573,1,TRUE,,1,1,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,7,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",1,"AE","AR(4)","Baseline",90,0.00147561341881384,2,TRUE,,0.912,0.9652,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,7,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",1,"AE","Ensemble_InvRMSE","Ensemble",90,0.00148998899979772,3,TRUE,,0.9206,0.9652,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,7,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",1,"AE","BorutaRF","FeatureSelection+Tree",90,0.00149662013780926,4,TRUE,,0.9652,0.9652,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,7,"0.2.0","SSM","ok",
"monthly_transformed","Target-month transformed change",1,"AE","Ensemble_Mean","Ensemble",90,0.00149871268838471,5,TRUE,,0.9458,0.9458,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,7,"0.2.0","SSM","ok",
