"model","horizon","model_family","n_evaluation","target_response_RMSE","target_response_MAE","target_response_bias","target_response_correlation","target_mode","level_RMSE","level_MAE","level_bias","cumulative_percent_MAE","annualized_percent_MAE","cumulative_log_RMSE","cumulative_log_MAE","cumulative_log_bias","cumulative_log_correlation"
"RW",1,"Baseline",84,1.21096183731304,0.328571428571429,0.00714285714285715,,"cumulative_arithmetic_change",1.21096183731304,0.328571428571429,0.00714285714285715,6.29472314597218,2497109.58274493,,,,
"RandomForest",1,"Tree",84,1.33032420083067,0.365243088624339,-0.0112391203703706,-0.105332341625991,"cumulative_arithmetic_change",1.33032420083067,0.365243088624339,-0.0112391203703706,6.50237977835931,2497127.59914058,,,,
"XGBoost",1,"Boosting",84,1.36105789352345,0.373465101506805,-0.00923152717905828,-0.118827991190316,"cumulative_arithmetic_change",1.36105789352345,0.373465101506805,-0.00923152717905828,6.58616984470026,2497135.50816273,,,,
"BorutaRF",1,"FeatureSelection+Tree",84,1.38525010474881,0.388924702380953,-0.00983554894179915,-0.110397164122408,"cumulative_arithmetic_change",1.38525010474881,0.388924702380953,-0.00983554894179917,6.82307599812775,2497147.73589322,,,,
"Ensemble_Mean",1,"Ensemble",84,1.62092335884729,0.436016719457277,-0.0778266960785096,-0.125063097200074,"cumulative_arithmetic_change",1.62092335884729,0.436016719457277,-0.0778266960785096,7.0937490725251,2497385.63946163,,,,
"Ensemble_InvRMSE",1,"Ensemble",84,1.62249722130664,0.432853004024894,-0.0774553814383027,-0.125199765461882,"cumulative_arithmetic_change",1.62249722130664,0.432853004024894,-0.0774553814383027,7.0272754905626,2497391.46518991,,,,
"Ensemble_Median",1,"Ensemble",84,1.87376992580946,0.465787500759851,-0.118032140863866,-0.136986932826947,"cumulative_arithmetic_change",1.87376992580946,0.465787500759851,-0.118032140863866,7.1809229221947,2498385.12734598,,,,
"LASSO",1,"Regularization",84,1.91512885295488,0.576706912322116,-0.0951986984356103,-0.127978723822136,"cumulative_arithmetic_change",1.91512885295488,0.576706912322116,-0.0951986984356104,9.2147356076468,2498413.83986627,,,,
"ElasticNet",1,"Regularization",84,1.96644898900082,0.589648442315949,-0.115770559793676,-0.144630604725201,"cumulative_arithmetic_change",1.96644898900082,0.589648442315949,-0.115770559793676,9.2809496533556,2498649.18187699,,,,
"Factor",1,"Factor",84,2.03842299190982,0.61441956729333,-0.0569561088893439,-0.0116619020181206,"cumulative_arithmetic_change",2.03842299190982,0.61441956729333,-0.0569561088893438,9.92525160994865,2499457.96271804,,,,
"AR(4)",1,"Baseline",84,2.04122502251835,0.58797513481915,-0.240472141073965,-0.203980055316498,"cumulative_arithmetic_change",2.04122502251835,0.58797513481915,-0.240472141073965,8.64224407657378,2498709.92409281,,,,
"Ridge",1,"Regularization",84,2.10273723345528,0.50792054578591,-0.168879417165619,-0.135893013622108,"cumulative_arithmetic_change",2.10273723345528,0.50792054578591,-0.168879417165619,7.55771320416757,2501130.46204805,,,,
"RW",3,"Baseline",84,2.01444190546071,0.741666666666667,0.0226190476190476,,"cumulative_arithmetic_change",2.01444190546071,0.741666666666667,0.0226190476190476,14.9162775542692,644.827820129602,,,,
