"target_code","target_name","target_mode","model_key","model","model_family","horizon","forecast_number","window_start_date","origin_date","target_date","origin_level","actual","prediction","evaluation_included","status","status_message","missing_before","short_gap_imputed_count","final_imputed_count","dropped_predictor_count","total_imputed_count","missing_after","em_iterations","em_converged","em_last_change","training_observations","n_features","n_selected","tuning_parameter","validation_loss","error","squared_error","absolute_error","actual_level","forecast_level","actual_cumulative_percent","forecast_cumulative_percent","actual_annualized_percent","forecast_annualized_percent","target_response_error","level_error","level_squared_error","level_absolute_error"
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change","RW","RW","Baseline",1,1,1988-12-01,2018-11-01,2018-12-01,3.8,0.1,0,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,359,1,1,"level RW;mode=cumulative_arithmetic_change",,0.1,0.01,0.1,3.9,3.8,2.63157894736843,0,36.5752879748969,0,0.1,0.1,0.01,0.1
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change","AR","AR(4)","Baseline",1,1,1988-12-01,2018-11-01,2018-12-01,3.8,0.1,-0.00312646796300563,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,4,4,"AR_lags=4;mode=cumulative_arithmetic_change",,0.103126467963006,0.0106350683945248,0.103126467963006,3.9,3.79687353203699,2.63157894736843,-0.08227547271068,36.5752879748969,-0.982850195382801,0.103126467963006,0.103126467963006,0.0106350683945248,0.103126467963006
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change","Ridge","Ridge","Regularization",1,1,1988-12-01,2018-11-01,2018-12-01,3.8,0.1,0.0014785400447791,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,516,516,"0.79428049",0.0185724609829501,0.098521459955221,0.00970647807170821,0.098521459955221,3.9,3.80147854004478,2.63157894736843,0.0389089485468119,36.5752879748969,0.467907857738803,0.098521459955221,0.0985214599552209,0.00970647807170819,0.0985214599552209
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change","LASSO","LASSO","Regularization",1,1,1988-12-01,2018-11-01,2018-12-01,3.8,0.1,-0.00533484340159968,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,516,50,"0.0077601994",0.0165333484903311,0.1053348434016,0.0110954292344395,0.1053348434016,3.9,3.7946651565984,2.63157894736843,-0.140390615831565,36.5752879748969,-1.67173978632249,0.1053348434016,0.1053348434016,0.0110954292344395,0.1053348434016
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change","ElasticNet","ElasticNet","Regularization",1,1,1988-12-01,2018-11-01,2018-12-01,3.8,0.1,-0.00395788073320477,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,516,56,"0.014814973",0.0164918885765308,0.103957880733205,0.0108072409665392,0.103957880733205,3.9,3.7960421192668,2.63157894736843,-0.104154756136965,36.5752879748969,-1.24272205240403,0.103957880733205,0.103957880733205,0.0108072409665393,0.103957880733205
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change","Factor","Factor","Factor",1,1,1988-12-01,2018-11-01,2018-12-01,3.8,0.1,-0.0306028720320625,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,20,5,"factor_lags=1",-1400.08573097312,0.130602872032063,0.0170571101830233,0.130602872032063,3.9,3.76939712796794,2.63157894736843,-0.805338737685857,36.5752879748969,-9.24729378970635,0.130602872032063,0.130602872032063,0.0170571101830233,0.130602872032063
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change","RandomForest","RandomForest","Tree",1,1,1988-12-01,2018-11-01,2018-12-01,3.8,0.1,-0.0329305555555556,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,516,516,"ntree=600;mtry=22",,0.132930555555556,0.0176705326003087,0.132930555555556,3.9,3.76706944444444,2.63157894736843,-0.866593567251461,36.5752879748969,-9.91751532066273,0.132930555555556,0.132930555555556,0.0176705326003087,0.132930555555556
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change","XGBoost","XGBoost","Boosting",1,1,1988-12-01,2018-11-01,2018-12-01,3.8,0.1,-0.0390194617211819,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,516,516,"nrounds=47",0.132687334769714,0.139019461721182,0.0193264107372472,0.139019461721182,3.9,3.76098053827882,2.63157894736843,-1.02682794003111,36.5752879748969,-11.6493245819316,0.139019461721182,0.139019461721182,0.0193264107372472,0.139019461721182
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change","BorutaRF","BorutaRF","FeatureSelection+Tree",1,1,1988-12-01,2018-11-01,2018-12-01,3.8,0.1,-0.0240944444444444,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,516,42,"ntree=600;refresh=TRUE;last_refresh=1;source=boruta_confirmed",,0.124094444444444,0.0153994311419753,0.124094444444444,3.9,3.77590555555556,2.63157894736843,-0.634064327485373,36.5752879748969,-7.34895611850629,0.124094444444444,0.124094444444444,0.0153994311419753,0.124094444444444
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change","RW","RW","Baseline",1,2,1989-01-01,2018-12-01,2019-01-01,3.9,0.1,0,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,359,1,1,"level RW;mode=cumulative_arithmetic_change",,0.1,0.01,0.1,4,3.9,2.56410256410258,0,35.5016587306677,0,0.1,0.1,0.01,0.1
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change","AR","AR(4)","Baseline",1,2,1989-01-01,2018-12-01,2019-01-01,3.9,0.1,0.00585814493790759,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,4,4,"AR_lags=4;mode=cumulative_arithmetic_change",,0.0941418550620925,0.00886268887453203,0.0941418550620925,4,3.90585814493791,2.56410256410258,0.150208844561717,35.5016587306677,1.81747232791554,0.0941418550620925,0.0941418550620927,0.00886268887453207,0.0941418550620927
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change","Ridge","Ridge","Regularization",1,2,1989-01-01,2018-12-01,2019-01-01,3.9,0.1,0.00886668914249227,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,516,516,"0.79621763",0.0185305784904492,0.0911333108575078,0.00830528034785115,0.0911333108575078,4,3.90886668914249,2.56410256410258,0.227351003653653,35.5016587306677,2.76258629861343,0.0911333108575078,0.0911333108575079,0.00830528034785116,0.0911333108575079
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change","LASSO","LASSO","Regularization",1,2,1989-01-01,2018-12-01,2019-01-01,3.9,0.1,-0.0147675382081487,TRUE,"ok",,0,0,0,0,0,0,0,TRUE,0,356,516,50,"0.0077791255",0.0164027506588172,0.114767538208149,0.0131715878263589,0.114767538208149,4,3.88523246179185,2.56410256410258,-0.378654825849967,35.5016587306677,-4.45041174989941,0.114767538208149,0.114767538208149,0.0131715878263589,0.114767538208149
