"horizon","forecast_number","window_start_index","window_end_index","origin_index","target_index","window_start_date","origin_date","target_date","actual","evaluation_included","target_feature_valid","origin_level","actual_level","target_mode"
1,1,12,371,371,372,1988-12-01,2018-11-01,2018-12-01,0.1,TRUE,TRUE,3.8,3.9,"cumulative_arithmetic_change"
1,2,13,372,372,373,1989-01-01,2018-12-01,2019-01-01,0.1,TRUE,TRUE,3.9,4,"cumulative_arithmetic_change"
1,3,14,373,373,374,1989-02-01,2019-01-01,2019-02-01,-0.2,TRUE,TRUE,4,3.8,"cumulative_arithmetic_change"
1,4,15,374,374,375,1989-03-01,2019-02-01,2019-03-01,0,TRUE,TRUE,3.8,3.8,"cumulative_arithmetic_change"
1,5,16,375,375,376,1989-04-01,2019-03-01,2019-04-01,-0.0999999999999996,TRUE,TRUE,3.8,3.7,"cumulative_arithmetic_change"
1,6,17,376,376,377,1989-05-01,2019-04-01,2019-05-01,-0.1,TRUE,TRUE,3.7,3.6,"cumulative_arithmetic_change"
1,7,18,377,377,378,1989-06-01,2019-05-01,2019-06-01,0,TRUE,TRUE,3.6,3.6,"cumulative_arithmetic_change"
1,8,19,378,378,379,1989-07-01,2019-06-01,2019-07-01,0.1,TRUE,TRUE,3.6,3.7,"cumulative_arithmetic_change"
1,9,20,379,379,380,1989-08-01,2019-07-01,2019-08-01,-0.1,TRUE,TRUE,3.7,3.6,"cumulative_arithmetic_change"
1,10,21,380,380,381,1989-09-01,2019-08-01,2019-09-01,-0.1,TRUE,TRUE,3.6,3.5,"cumulative_arithmetic_change"
1,11,22,381,381,382,1989-10-01,2019-09-01,2019-10-01,0.1,TRUE,TRUE,3.5,3.6,"cumulative_arithmetic_change"
1,12,23,382,382,383,1989-11-01,2019-10-01,2019-11-01,0,TRUE,TRUE,3.6,3.6,"cumulative_arithmetic_change"
1,13,24,383,383,384,1989-12-01,2019-11-01,2019-12-01,0,TRUE,TRUE,3.6,3.6,"cumulative_arithmetic_change"
1,14,25,384,384,385,1990-01-01,2019-12-01,2020-01-01,0,TRUE,TRUE,3.6,3.6,"cumulative_arithmetic_change"
1,15,26,385,385,386,1990-02-01,2020-01-01,2020-02-01,-0.1,TRUE,TRUE,3.6,3.5,"cumulative_arithmetic_change"
1,16,27,386,386,387,1990-03-01,2020-02-01,2020-03-01,0.9,TRUE,TRUE,3.5,4.4,"cumulative_arithmetic_change"
1,17,28,387,387,388,1990-04-01,2020-03-01,2020-04-01,10.4,TRUE,TRUE,4.4,14.8,"cumulative_arithmetic_change"
1,18,29,388,388,389,1990-05-01,2020-04-01,2020-05-01,-1.6,TRUE,TRUE,14.8,13.2,"cumulative_arithmetic_change"
1,19,30,389,389,390,1990-06-01,2020-05-01,2020-06-01,-2.2,TRUE,TRUE,13.2,11,"cumulative_arithmetic_change"
1,20,31,390,390,391,1990-07-01,2020-06-01,2020-07-01,-0.800000000000001,TRUE,TRUE,11,10.2,"cumulative_arithmetic_change"
1,21,32,391,391,392,1990-08-01,2020-07-01,2020-08-01,-1.8,TRUE,TRUE,10.2,8.4,"cumulative_arithmetic_change"
1,22,33,392,392,393,1990-09-01,2020-08-01,2020-09-01,-0.600000000000001,TRUE,TRUE,8.4,7.8,"cumulative_arithmetic_change"
1,23,34,393,393,394,1990-10-01,2020-09-01,2020-10-01,-0.899999999999999,TRUE,TRUE,7.8,6.9,"cumulative_arithmetic_change"
1,24,35,394,394,395,1990-11-01,2020-10-01,2020-11-01,-0.2,TRUE,TRUE,6.9,6.7,"cumulative_arithmetic_change"
1,25,36,395,395,396,1990-12-01,2020-11-01,2020-12-01,0,TRUE,TRUE,6.7,6.7,"cumulative_arithmetic_change"
1,26,37,396,396,397,1991-01-01,2020-12-01,2021-01-01,-0.3,TRUE,TRUE,6.7,6.4,"cumulative_arithmetic_change"
1,27,38,397,397,398,1991-02-01,2021-01-01,2021-02-01,-0.2,TRUE,TRUE,6.4,6.2,"cumulative_arithmetic_change"
1,28,39,398,398,399,1991-03-01,2021-02-01,2021-03-01,-0.100000000000001,TRUE,TRUE,6.2,6.1,"cumulative_arithmetic_change"
1,29,40,399,399,400,1991-04-01,2021-03-01,2021-04-01,0,TRUE,TRUE,6.1,6.1,"cumulative_arithmetic_change"
1,30,41,400,400,401,1991-05-01,2021-04-01,2021-05-01,-0.3,TRUE,TRUE,6.1,5.8,"cumulative_arithmetic_change"
1,31,42,401,401,402,1991-06-01,2021-05-01,2021-06-01,0.100000000000001,TRUE,TRUE,5.8,5.9,"cumulative_arithmetic_change"
1,32,43,402,402,403,1991-07-01,2021-06-01,2021-07-01,-0.5,TRUE,TRUE,5.9,5.4,"cumulative_arithmetic_change"
1,33,44,403,403,404,1991-08-01,2021-07-01,2021-08-01,-0.300000000000001,TRUE,TRUE,5.4,5.1,"cumulative_arithmetic_change"
1,34,45,404,404,405,1991-09-01,2021-08-01,2021-09-01,-0.399999999999999,TRUE,TRUE,5.1,4.7,"cumulative_arithmetic_change"
1,35,46,405,405,406,1991-10-01,2021-09-01,2021-10-01,-0.2,TRUE,TRUE,4.7,4.5,"cumulative_arithmetic_change"
1,36,47,406,406,407,1991-11-01,2021-10-01,2021-11-01,-0.4,TRUE,TRUE,4.5,4.1,"cumulative_arithmetic_change"
1,37,48,407,407,408,1991-12-01,2021-11-01,2021-12-01,-0.2,TRUE,TRUE,4.1,3.9,"cumulative_arithmetic_change"
1,38,49,408,408,409,1992-01-01,2021-12-01,2022-01-01,0.1,TRUE,TRUE,3.9,4,"cumulative_arithmetic_change"
1,39,50,409,409,410,1992-02-01,2022-01-01,2022-02-01,-0.1,TRUE,TRUE,4,3.9,"cumulative_arithmetic_change"
1,40,51,410,410,411,1992-03-01,2022-02-01,2022-03-01,-0.2,TRUE,TRUE,3.9,3.7,"cumulative_arithmetic_change"
1,41,52,411,411,412,1992-04-01,2022-03-01,2022-04-01,0,TRUE,TRUE,3.7,3.7,"cumulative_arithmetic_change"
1,42,53,412,412,413,1992-05-01,2022-04-01,2022-05-01,-0.1,TRUE,TRUE,3.7,3.6,"cumulative_arithmetic_change"
1,43,54,413,413,414,1992-06-01,2022-05-01,2022-06-01,0,TRUE,TRUE,3.6,3.6,"cumulative_arithmetic_change"
1,44,55,414,414,415,1992-07-01,2022-06-01,2022-07-01,-0.1,TRUE,TRUE,3.6,3.5,"cumulative_arithmetic_change"
1,45,56,415,415,416,1992-08-01,2022-07-01,2022-08-01,0.1,TRUE,TRUE,3.5,3.6,"cumulative_arithmetic_change"
1,46,57,416,416,417,1992-09-01,2022-08-01,2022-09-01,-0.1,TRUE,TRUE,3.6,3.5,"cumulative_arithmetic_change"
1,47,58,417,417,418,1992-10-01,2022-09-01,2022-10-01,0.1,TRUE,TRUE,3.5,3.6,"cumulative_arithmetic_change"
1,48,59,418,418,419,1992-11-01,2022-10-01,2022-11-01,0,TRUE,TRUE,3.6,3.6,"cumulative_arithmetic_change"
1,49,60,419,419,420,1992-12-01,2022-11-01,2022-12-01,-0.1,TRUE,TRUE,3.6,3.5,"cumulative_arithmetic_change"
1,50,61,420,420,421,1993-01-01,2022-12-01,2023-01-01,0,TRUE,TRUE,3.5,3.5,"cumulative_arithmetic_change"
1,51,62,421,421,422,1993-02-01,2023-01-01,2023-02-01,0.1,TRUE,TRUE,3.5,3.6,"cumulative_arithmetic_change"
1,52,63,422,422,423,1993-03-01,2023-02-01,2023-03-01,-0.1,TRUE,TRUE,3.6,3.5,"cumulative_arithmetic_change"
1,53,64,423,423,424,1993-04-01,2023-03-01,2023-04-01,-0.1,TRUE,TRUE,3.5,3.4,"cumulative_arithmetic_change"
1,54,65,424,424,425,1993-05-01,2023-04-01,2023-05-01,0.2,TRUE,TRUE,3.4,3.6,"cumulative_arithmetic_change"
1,55,66,425,425,426,1993-06-01,2023-05-01,2023-06-01,0,TRUE,TRUE,3.6,3.6,"cumulative_arithmetic_change"
1,56,67,426,426,427,1993-07-01,2023-06-01,2023-07-01,-0.1,TRUE,TRUE,3.6,3.5,"cumulative_arithmetic_change"
1,57,68,427,427,428,1993-08-01,2023-07-01,2023-08-01,0.2,TRUE,TRUE,3.5,3.7,"cumulative_arithmetic_change"
1,58,69,428,428,429,1993-09-01,2023-08-01,2023-09-01,0,TRUE,TRUE,3.7,3.7,"cumulative_arithmetic_change"
1,59,70,429,429,430,1993-10-01,2023-09-01,2023-10-01,0.2,TRUE,TRUE,3.7,3.9,"cumulative_arithmetic_change"
1,60,71,430,430,431,1993-11-01,2023-10-01,2023-11-01,-0.2,TRUE,TRUE,3.9,3.7,"cumulative_arithmetic_change"
1,61,72,431,431,432,1993-12-01,2023-11-01,2023-12-01,0.0999999999999996,TRUE,TRUE,3.7,3.8,"cumulative_arithmetic_change"
1,62,73,432,432,433,1994-01-01,2023-12-01,2024-01-01,-0.0999999999999996,TRUE,TRUE,3.8,3.7,"cumulative_arithmetic_change"
1,63,74,433,433,434,1994-02-01,2024-01-01,2024-02-01,0.2,TRUE,TRUE,3.7,3.9,"cumulative_arithmetic_change"
1,64,75,434,434,435,1994-03-01,2024-02-01,2024-03-01,0,TRUE,TRUE,3.9,3.9,"cumulative_arithmetic_change"
1,65,76,435,435,436,1994-04-01,2024-03-01,2024-04-01,0,TRUE,TRUE,3.9,3.9,"cumulative_arithmetic_change"
1,66,77,436,436,437,1994-05-01,2024-04-01,2024-05-01,0,TRUE,TRUE,3.9,3.9,"cumulative_arithmetic_change"
1,67,78,437,437,438,1994-06-01,2024-05-01,2024-06-01,0.2,TRUE,TRUE,3.9,4.1,"cumulative_arithmetic_change"
1,68,79,438,438,439,1994-07-01,2024-06-01,2024-07-01,0.100000000000001,TRUE,TRUE,4.1,4.2,"cumulative_arithmetic_change"
1,69,80,439,439,440,1994-08-01,2024-07-01,2024-08-01,0,TRUE,TRUE,4.2,4.2,"cumulative_arithmetic_change"
1,70,81,440,440,441,1994-09-01,2024-08-01,2024-09-01,-0.100000000000001,TRUE,TRUE,4.2,4.1,"cumulative_arithmetic_change"
1,71,82,441,441,442,1994-10-01,2024-09-01,2024-10-01,0,TRUE,TRUE,4.1,4.1,"cumulative_arithmetic_change"
1,72,83,442,442,443,1994-11-01,2024-10-01,2024-11-01,0.100000000000001,TRUE,TRUE,4.1,4.2,"cumulative_arithmetic_change"
1,73,84,443,443,444,1994-12-01,2024-11-01,2024-12-01,-0.100000000000001,TRUE,TRUE,4.2,4.1,"cumulative_arithmetic_change"
1,74,85,444,444,445,1995-01-01,2024-12-01,2025-01-01,-0.0999999999999996,TRUE,TRUE,4.1,4,"cumulative_arithmetic_change"
1,75,86,445,445,446,1995-02-01,2025-01-01,2025-02-01,0.2,TRUE,TRUE,4,4.2,"cumulative_arithmetic_change"
1,76,87,446,446,447,1995-03-01,2025-02-01,2025-03-01,0,TRUE,TRUE,4.2,4.2,"cumulative_arithmetic_change"
1,77,88,447,447,448,1995-04-01,2025-03-01,2025-04-01,0,TRUE,TRUE,4.2,4.2,"cumulative_arithmetic_change"
1,78,89,448,448,449,1995-05-01,2025-04-01,2025-05-01,0.0999999999999996,TRUE,TRUE,4.2,4.3,"cumulative_arithmetic_change"
1,79,90,449,449,450,1995-06-01,2025-05-01,2025-06-01,-0.2,TRUE,TRUE,4.3,4.1,"cumulative_arithmetic_change"
1,80,91,450,450,451,1995-07-01,2025-06-01,2025-07-01,0.2,TRUE,TRUE,4.1,4.3,"cumulative_arithmetic_change"
1,81,92,451,451,452,1995-08-01,2025-07-01,2025-08-01,0,TRUE,TRUE,4.3,4.3,"cumulative_arithmetic_change"
1,82,93,452,452,453,1995-09-01,2025-08-01,2025-09-01,0.100000000000001,TRUE,TRUE,4.3,4.4,"cumulative_arithmetic_change"
1,83,94,453,453,454,1995-10-01,2025-09-01,2025-10-01,0,FALSE,TRUE,4.4,4.4,"cumulative_arithmetic_change"
1,84,95,454,454,455,1995-11-01,2025-10-01,2025-11-01,0.0999999999999996,FALSE,FALSE,4.4,4.5,"cumulative_arithmetic_change"
1,85,96,455,455,456,1995-12-01,2025-11-01,2025-12-01,-0.0999999999999996,FALSE,FALSE,4.5,4.4,"cumulative_arithmetic_change"
1,86,97,456,456,457,1996-01-01,2025-12-01,2026-01-01,-0.100000000000001,FALSE,FALSE,4.4,4.3,"cumulative_arithmetic_change"
1,87,98,457,457,458,1996-02-01,2026-01-01,2026-02-01,0.100000000000001,FALSE,FALSE,4.3,4.4,"cumulative_arithmetic_change"
1,88,99,458,458,459,1996-03-01,2026-02-01,2026-03-01,-0.100000000000001,FALSE,FALSE,4.4,4.3,"cumulative_arithmetic_change"
1,89,100,459,459,460,1996-04-01,2026-03-01,2026-04-01,0,TRUE,TRUE,4.3,4.3,"cumulative_arithmetic_change"
1,90,101,460,460,461,1996-05-01,2026-04-01,2026-05-01,0,TRUE,TRUE,4.3,4.3,"cumulative_arithmetic_change"
3,1,10,369,369,372,1988-10-01,2018-09-01,2018-12-01,0.2,TRUE,TRUE,3.7,3.9,"cumulative_arithmetic_change"
3,2,11,370,370,373,1988-11-01,2018-10-01,2019-01-01,0.2,TRUE,TRUE,3.8,4,"cumulative_arithmetic_change"
3,3,12,371,371,374,1988-12-01,2018-11-01,2019-02-01,0,TRUE,TRUE,3.8,3.8,"cumulative_arithmetic_change"
3,4,13,372,372,375,1989-01-01,2018-12-01,2019-03-01,-0.1,TRUE,TRUE,3.9,3.8,"cumulative_arithmetic_change"
3,5,14,373,373,376,1989-02-01,2019-01-01,2019-04-01,-0.3,TRUE,TRUE,4,3.7,"cumulative_arithmetic_change"
