"model","model_family","horizon","n_evaluation","RMSE","MAE","bias","correlation"
"XGBoost","Boosting",1,88,1.28435074437108,0.352287980096827,0.000266376615300863,-0.111707648898049
"RandomForest","Tree",1,88,1.30063386217892,0.352157575757576,-0.0129829545454547,-0.101686178161651
"BorutaRF","FeatureSelection+Tree",1,88,1.31063699081989,0.355771843434344,0.00398087121212097,-0.0887674898424148
"Ensemble_Mean","Ensemble",1,88,1.64241902271529,0.42016600609726,-0.0750759326538556,-0.10687600685603
"Ensemble_InvRMSE","Ensemble",1,88,1.64454292018344,0.417662419892837,-0.0734748333913107,-0.107557475699647
"RW","Baseline",1,88,1.66392198243679,0.459090909090909,1.00916695382167e-17,0.0113472037774826
"Ensemble_Median","Ensemble",1,88,1.82186757035691,0.441289748689046,-0.103418144675716,-0.124095791218532
"LASSO","Regularization",1,88,1.87106336862121,0.552064929403154,-0.0979029358409404,-0.127940955986708
"ElasticNet","Regularization",1,88,1.92118987362866,0.564164184441177,-0.117242044884687,-0.14454201883304
"Factor","Factor",1,88,1.9918089215137,0.592332857294781,-0.0568613268455952,-0.0113707786266042
"AR(4)","Baseline",1,88,1.99438849970877,0.565348912956085,-0.231495917447364,-0.203382450500045
"Ridge","Regularization",1,88,2.05449473741873,0.488999748446485,-0.163445462148081,-0.13557905960012
"XGBoost","Boosting",3,88,1.1885577233891,0.330352135076696,0.0112679838160561,-0.0693115557311171
"BorutaRF","FeatureSelection+Tree",3,88,1.21375162357678,0.359946717171717,0.0164465909090909,-0.120963617465889
"Ridge","Regularization",3,88,1.22792849617772,0.35555317804968,-0.0263219167545174,-0.147799402895671
"Ensemble_Median","Ensemble",3,88,1.23832508574802,0.363803598006741,-0.0319601780073694,-0.170668548835953
"RandomForest","Tree",3,88,1.25008138964185,0.40756240530303,-0.0860860164141413,-0.180559550413591
"Factor","Factor",3,88,1.297462173979,0.37396712936136,-0.0455127413715697,-0.0471600695056734
"AR(4)","Baseline",3,88,1.3504568485334,0.441313100693713,-0.0812338743541877,-0.14203775643345
"Ensemble_Mean","Ensemble",3,88,1.41807657071199,0.419305532174626,-0.0861391269550638,-0.126384467570027
"Ensemble_InvRMSE","Ensemble",3,88,1.41872970450094,0.420343073405677,-0.0870472156081467,-0.127425821442667
"RW","Baseline",3,88,1.70093557143762,0.479545454545455,0,-0.0332106044818835
"ElasticNet","Regularization",3,88,2.36287237573205,0.598941351507769,-0.263770578842846,-0.123746019855691
"LASSO","Regularization",3,88,2.41563493914813,0.636612376409876,-0.300041589583459,-0.13948130190959
"XGBoost","Boosting",6,88,1.1953952718896,0.350541920354854,0.0125392267626012,-0.00415360700525577
"RandomForest","Tree",6,88,1.20255909701125,0.362286047979798,-0.0369326388888889,-0.0375309584121816
"BorutaRF","FeatureSelection+Tree",6,88,1.20788427707625,0.399809974747475,0.0187284722222223,0.0326400898014353
"Ridge","Regularization",6,88,1.23715047340657,0.380075073811115,0.0034670196764587,-0.0671351274315024
"Ensemble_Median","Ensemble",6,88,1.24476283804571,0.373664337687821,0.0184618315313671,-0.0526632329996732
"Ensemble_Mean","Ensemble",6,88,1.334746398798,0.43028820714103,-0.0280142752500681,-0.0547159962331262
"Ensemble_InvRMSE","Ensemble",6,88,1.33480998816889,0.429799061641324,-0.0296531053947577,-0.0544821689576083
"AR(4)","Baseline",6,88,1.34837432455768,0.442414960520751,-0.0108806449365864,-0.0592065041791007
"Factor","Factor",6,88,1.35230255017587,0.417947645005675,-0.00704475463676706,-0.0602849940085119
"LASSO","Regularization",6,88,1.55965605282864,0.560523933804477,-0.0213673758600246,-0.0349993672333566
"RW","Baseline",6,88,1.72224747456234,0.547727272727273,-0.00227272727272728,-0.0589282075291085
"ElasticNet","Regularization",6,88,2.82890735025354,0.746144003706204,-0.208365054316901,-0.0327463836181915
"Ridge","Regularization",12,88,1.18688317628824,0.323601218730133,0.00407523569291324,-0.0858675619790794
"Ensemble_Median","Ensemble",12,88,1.18736471935703,0.325304473478434,0.00988362007754685,-0.0662967220286309
"XGBoost","Boosting",12,88,1.18852905850056,0.320195306533291,0.0187286666726736,-0.101772017830605
"Factor","Factor",12,88,1.18873382443917,0.3404788694343,0.00473307621331573,-0.0137905349046569
"ElasticNet","Regularization",12,88,1.18896378572182,0.327027274872057,0.0268428526449347,-0.0196283323109598
"LASSO","Regularization",12,88,1.18972012592419,0.328753740704023,0.027308769374246,-0.0187657003690705
"Ensemble_Mean","Ensemble",12,88,1.19962142465394,0.360307808586057,-0.0223513682647771,-0.0252611454729668
"Ensemble_InvRMSE","Ensemble",12,88,1.19964030055501,0.360864455815507,-0.0237442495065911,-0.0256227836638916
"RandomForest","Tree",12,88,1.20498158411862,0.392357891414142,-0.0525056818181818,-0.0582550395055498
"AR(4)","Baseline",12,88,1.26620278017111,0.387135382062387,0.00953222895831694,-0.0349516867139
"BorutaRF","FeatureSelection+Tree",12,88,1.45668034389003,0.681422727272727,-0.244422916666667,-0.0144342321005367
"RW","Baseline",12,88,1.66685604984626,0.536363636363636,0.00454545454545456,0.00803316550735594
