"target_code","target_name","model_key","model","model_family","horizon","forecast_number","window_start_date","origin_date","target_date","actual","prediction","evaluation_included","status","status_message","missing_before","short_gap_imputed_count","final_imputed_count","dropped_predictor_count","missing_after","em_iterations","em_converged","em_last_change","training_observations","n_features","n_selected","tuning_parameter","validation_loss","error","squared_error","absolute_error"
"UNRATE","Civilian Unemployment Rate [UNRATE]","RW","RW","Baseline",1,1,1988-12-01,2018-11-01,2018-12-01,0.1,0,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,360,1,1,,,0.1,0.01,0.1
"UNRATE","Civilian Unemployment Rate [UNRATE]","AR","AR(4)","Baseline",1,1,1988-12-01,2018-11-01,2018-12-01,0.1,-0.00312646796300563,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,4,4,"AR_lags=4",,0.103126467963006,0.0106350683945248,0.103126467963006
"UNRATE","Civilian Unemployment Rate [UNRATE]","Ridge","Ridge","Regularization",1,1,1988-12-01,2018-11-01,2018-12-01,0.1,0.0014785400447791,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,516,"0.79428049",0.0185724609829501,0.098521459955221,0.00970647807170821,0.098521459955221
"UNRATE","Civilian Unemployment Rate [UNRATE]","LASSO","LASSO","Regularization",1,1,1988-12-01,2018-11-01,2018-12-01,0.1,-0.00533484340159968,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,50,"0.0077601994",0.0165333484903311,0.1053348434016,0.0110954292344395,0.1053348434016
"UNRATE","Civilian Unemployment Rate [UNRATE]","ElasticNet","ElasticNet","Regularization",1,1,1988-12-01,2018-11-01,2018-12-01,0.1,-0.00395788073320477,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,56,"0.014814973",0.0164918885765308,0.103957880733205,0.0108072409665392,0.103957880733205
"UNRATE","Civilian Unemployment Rate [UNRATE]","Factor","Factor","Factor",1,1,1988-12-01,2018-11-01,2018-12-01,0.1,-0.0306028720320625,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,20,5,"factor_lags=1",-1400.08573097312,0.130602872032063,0.0170571101830233,0.130602872032063
"UNRATE","Civilian Unemployment Rate [UNRATE]","RandomForest","RandomForest","Tree",1,1,1988-12-01,2018-11-01,2018-12-01,0.1,-0.0311833333333333,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,516,"ntree=600;mtry=22",,0.131183333333333,0.0172090669444445,0.131183333333333
"UNRATE","Civilian Unemployment Rate [UNRATE]","XGBoost","XGBoost","Boosting",1,1,1988-12-01,2018-11-01,2018-12-01,0.1,-0.0168388821184635,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,516,"nrounds=68",0.136625360420003,0.116838882118464,0.0136513243746922,0.116838882118464
"UNRATE","Civilian Unemployment Rate [UNRATE]","BorutaRF","BorutaRF","FeatureSelection+Tree",1,1,1988-12-01,2018-11-01,2018-12-01,0.1,-0.0130361111111111,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,37,"ntree=600;refresh=TRUE;last_refresh=1;source=boruta_confirmed",,0.113036111111111,0.0127771624151235,0.113036111111111
"UNRATE","Civilian Unemployment Rate [UNRATE]","RW","RW","Baseline",1,2,1989-01-01,2018-12-01,2019-01-01,0.1,0.1,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,360,1,1,,,0,0,0
"UNRATE","Civilian Unemployment Rate [UNRATE]","AR","AR(4)","Baseline",1,2,1989-01-01,2018-12-01,2019-01-01,0.1,0.00585814493790759,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,4,4,"AR_lags=4",,0.0941418550620925,0.00886268887453203,0.0941418550620925
"UNRATE","Civilian Unemployment Rate [UNRATE]","Ridge","Ridge","Regularization",1,2,1989-01-01,2018-12-01,2019-01-01,0.1,0.00886668914249227,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,516,"0.79621763",0.0185305784904492,0.0911333108575078,0.00830528034785115,0.0911333108575078
"UNRATE","Civilian Unemployment Rate [UNRATE]","LASSO","LASSO","Regularization",1,2,1989-01-01,2018-12-01,2019-01-01,0.1,-0.0147675382081487,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,50,"0.0077791255",0.0164027506588172,0.114767538208149,0.0131715878263589,0.114767538208149
"UNRATE","Civilian Unemployment Rate [UNRATE]","ElasticNet","ElasticNet","Regularization",1,2,1989-01-01,2018-12-01,2019-01-01,0.1,-0.0131270858549256,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,57,"0.014851105",0.0163751701435603,0.113127085854926,0.0127977375540277,0.113127085854926
"UNRATE","Civilian Unemployment Rate [UNRATE]","Factor","Factor","Factor",1,2,1989-01-01,2018-12-01,2019-01-01,0.1,-0.0155454620196404,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,20,5,"factor_lags=1",-1401.76945252473,0.11554546201964,0.0133507537933322,0.11554546201964
"UNRATE","Civilian Unemployment Rate [UNRATE]","RandomForest","RandomForest","Tree",1,2,1989-01-01,2018-12-01,2019-01-01,0.1,-0.02255,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,516,"ntree=600;mtry=22",,0.12255,0.0150185025,0.12255
"UNRATE","Civilian Unemployment Rate [UNRATE]","XGBoost","XGBoost","Boosting",1,2,1989-01-01,2018-12-01,2019-01-01,0.1,-0.0249690096825361,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,516,"nrounds=53",0.136281396957765,0.124969009682536,0.0156172533810338,0.124969009682536
"UNRATE","Civilian Unemployment Rate [UNRATE]","BorutaRF","BorutaRF","FeatureSelection+Tree",1,2,1989-01-01,2018-12-01,2019-01-01,0.1,-0.0410944444444445,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,37,"ntree=600;refresh=FALSE;last_refresh=1;source=boruta_confirmed",,0.141094444444445,0.0199076422530865,0.141094444444445
"UNRATE","Civilian Unemployment Rate [UNRATE]","RW","RW","Baseline",1,3,1989-02-01,2019-01-01,2019-02-01,-0.2,0.1,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,360,1,1,,,-0.3,0.0900000000000002,0.3
"UNRATE","Civilian Unemployment Rate [UNRATE]","AR","AR(4)","Baseline",1,3,1989-02-01,2019-01-01,2019-02-01,-0.2,0.033154113942318,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,4,4,"AR_lags=4",,-0.233154113942318,0.0543608408482275,0.233154113942318
"UNRATE","Civilian Unemployment Rate [UNRATE]","Ridge","Ridge","Regularization",1,3,1989-02-01,2019-01-01,2019-02-01,-0.2,-0.0178611205935032,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,516,"0.79972167",0.0176044719831021,-0.182138879406497,0.0331745713914545,0.182138879406497
"UNRATE","Civilian Unemployment Rate [UNRATE]","LASSO","LASSO","Regularization",1,3,1989-02-01,2019-01-01,2019-02-01,-0.2,-0.0239621255172052,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,42,"0.0094112202",0.0159492999027987,-0.176037874482795,0.0309893332524203,0.176037874482795
"UNRATE","Civilian Unemployment Rate [UNRATE]","ElasticNet","ElasticNet","Regularization",1,3,1989-02-01,2019-01-01,2019-02-01,-0.2,-0.0274989150089483,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,44,"0.01882244",0.0160037293714017,-0.172501084991052,0.0297566243230901,0.172501084991052
"UNRATE","Civilian Unemployment Rate [UNRATE]","Factor","Factor","Factor",1,3,1989-02-01,2019-01-01,2019-02-01,-0.2,0.00703467791509741,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,20,5,"factor_lags=1",-1401.00140969638,-0.207034677915098,0.0428633578594082,0.207034677915098
"UNRATE","Civilian Unemployment Rate [UNRATE]","RandomForest","RandomForest","Tree",1,3,1989-02-01,2019-01-01,2019-02-01,-0.2,-0.0509055555555556,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,516,"ntree=600;mtry=22",,-0.149094444444445,0.0222291533641976,0.149094444444445
"UNRATE","Civilian Unemployment Rate [UNRATE]","XGBoost","XGBoost","Boosting",1,3,1989-02-01,2019-01-01,2019-02-01,-0.2,-0.0946344807744026,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,516,"nrounds=47",0.130395825776108,-0.105365519225598,0.0111018926416798,0.105365519225598
"UNRATE","Civilian Unemployment Rate [UNRATE]","BorutaRF","BorutaRF","FeatureSelection+Tree",1,3,1989-02-01,2019-01-01,2019-02-01,-0.2,-0.0597111111111112,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,356,516,37,"ntree=600;refresh=FALSE;last_refresh=1;source=boruta_confirmed",,-0.140288888888889,0.019680972345679,0.140288888888889
"UNRATE","Civilian Unemployment Rate [UNRATE]","RW","RW","Baseline",1,4,1989-03-01,2019-02-01,2019-03-01,0,-0.2,TRUE,"ok",,0,0,0,0,0,0,TRUE,0,360,1,1,,,0.2,0.0400000000000001,0.2
