"ensemble","horizon","forecast_origin","target_date","member_model","weight","history_count"
"Ensemble_Mean",1,2026-05-01,2026-06-01,"RW",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"AR(4)",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"Ridge",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"LASSO",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"ElasticNet",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"Factor",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"RandomForest",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"XGBoost",0.111111111111111,0
"Ensemble_Mean",1,2026-05-01,2026-06-01,"BorutaRF",0.111111111111111,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"RW",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"AR(4)",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"Ridge",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"LASSO",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"ElasticNet",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"Factor",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"RandomForest",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"XGBoost",,0
"Ensemble_Median",1,2026-05-01,2026-06-01,"BorutaRF",,0
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"RW",0.149576931864177,84
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"AR(4)",0.0887368880117002,84
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"Ridge",0.0861410324352557,84
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"LASSO",0.0945795140365723,84
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"ElasticNet",0.0921111898874768,84
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"Factor",0.0888588663632499,84
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"RandomForest",0.136156251323392,84
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"XGBoost",0.133081742585529,84
"Ensemble_InvRMSE",1,2026-05-01,2026-06-01,"BorutaRF",0.130757583492647,84
"Ensemble_Mean",3,2026-05-01,2026-08-01,"RW",0.111111111111111,0
"Ensemble_Mean",3,2026-05-01,2026-08-01,"AR(4)",0.111111111111111,0
"Ensemble_Mean",3,2026-05-01,2026-08-01,"Ridge",0.111111111111111,0
"Ensemble_Mean",3,2026-05-01,2026-08-01,"LASSO",0.111111111111111,0
