"target_code","target_name","target_mode","forecast_origin","target_date","horizon","model_key","model","model_family","latest_observed_level","origin_value_status","target_response_forecast","cumulative_log_forecast","cumulative_percent_forecast","annualized_percent_forecast","raw_level_forecast","level_forecast_formula","level_RMSE","relative_level_RMSE","level_RMSE_rank","target_response_RMSE","relative_target_response_RMSE","target_response_RMSE_rank","cumulative_log_RMSE","cumulative_log_RMSE_rank","window_start_date","window_size","training_observations","n_features","n_selected","tuning_parameter","validation_loss","missing_before","short_gap_imputed_count","final_imputed_count","dropped_predictor_count","total_imputed_count","missing_after","em_iterations","em_converged","em_last_change","execution_profile","status","status_message","latest_origin_observed","prediction"
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change",2026-05-01,2026-06-01,1,"RW","RW","Baseline",4.3,"Observed",0,,0,0,4.3,"forecast_level = origin_level + predicted_change",1.21096183731304,1,1,1.21096183731304,1,1,,,1996-06-01,360,359,1,1,"level RW;mode=cumulative_arithmetic_change",,63,63,0,0,63,0,0,TRUE,0,"full","ok",,TRUE,0
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change",2026-05-01,2026-06-01,1,"RandomForest","RandomForest","Tree",4.3,"Observed",-0.0379583333333334,,-0.882751937984494,-10.0935547054414,4.26204166666667,"forecast_level = origin_level + predicted_change",1.33032420083067,1.09856822885722,2,1.33032420083067,1.09856822885722,2,,,1996-06-01,360,350,516,516,"ntree=600;mtry=22",,63,63,0,0,63,0,0,TRUE,0,"full","ok",,TRUE,-0.0379583333333334
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change",2026-05-01,2026-06-01,1,"XGBoost","XGBoost","Boosting",4.3,"Observed",0.00357724796049297,,0.0831918130347109,1.00288222620497,4.30357724796049,"forecast_level = origin_level + predicted_change",1.36105789352345,1.12394780048846,3,1.36105789352345,1.12394780048846,3,,,1996-06-01,360,350,516,516,"nrounds=11",1.32285100860979,63,63,0,0,63,0,0,TRUE,0,"full","ok",,TRUE,0.00357724796049297
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change",2026-05-01,2026-06-01,1,"BorutaRF","BorutaRF","FeatureSelection+Tree",4.3,"Observed",-0.0398694444444445,,-0.927196382428941,-10.57613494653,4.26013055555556,"forecast_level = origin_level + predicted_change",1.38525010474881,1.14392548308747,4,1.38525010474881,1.14392548308747,4,,,1996-06-01,360,350,516,14,"ntree=600;refresh=TRUE;last_refresh=1;source=boruta_confirmed",,63,63,0,0,63,0,0,TRUE,0,"full","ok",,TRUE,-0.0398694444444445
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change",2026-05-01,2026-06-01,1,"Ensemble_Mean","Ensemble_Mean","Ensemble",4.3,"Observed",0.0345586645433432,,0.803689873101021,10.0822137487488,4.33455866454334,"forecast_level = origin_level + predicted_change",1.62092335884729,1.33854206540802,5,1.62092335884729,1.33854206540802,5,,,1996-06-01,360,,,9,"members=9;history=0",,63,63,0,0,63,0,0,TRUE,0,"full","ok",,TRUE,0.0345586645433432
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change",2026-05-01,2026-06-01,1,"Ensemble_InvRMSE","Ensemble_InvRMSE","Ensemble",4.3,"Observed",0.0261120927044244,,0.607257969870334,7.53547323351995,4.32611209270442,"forecast_level = origin_level + predicted_change",1.62249722130664,1.33984174506006,6,1.62249722130664,1.33984174506006,6,,,1996-06-01,360,,,9,"members=9;history=84",,63,63,0,0,63,0,0,TRUE,0,"full","ok",,TRUE,0.0261120927044244
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change",2026-05-01,2026-06-01,1,"Ensemble_Median","Ensemble_Median","Ensemble",4.3,"Observed",0,,0,0,4.3,"forecast_level = origin_level + predicted_change",1.87376992580946,1.54734019526751,7,1.87376992580946,1.54734019526751,7,,,1996-06-01,360,,,9,"members=9;history=0",,63,63,0,0,63,0,0,TRUE,0,"full","ok",,TRUE,0
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change",2026-05-01,2026-06-01,1,"LASSO","LASSO","Regularization",4.3,"Observed",0.19687473843092,,4.57848228909117,71.1228549797311,4.49687473843092,"forecast_level = origin_level + predicted_change",1.91512885295488,1.58149397771634,8,1.91512885295488,1.58149397771634,8,,,1996-06-01,360,350,516,148,"0.0038502743",1.71244666840533,63,63,0,0,63,0,0,TRUE,0,"full","ok",,TRUE,0.19687473843092
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change",2026-05-01,2026-06-01,1,"ElasticNet","ElasticNet","Regularization",4.3,"Observed",0.205511202893503,,4.77933029984892,75.1085773950758,4.5055112028935,"forecast_level = origin_level + predicted_change",1.96644898900082,1.62387362541837,9,1.96644898900082,1.62387362541837,9,,,1996-06-01,360,350,516,152,"0.0077005485",1.71767959112047,63,63,0,0,63,0,0,TRUE,0,"full","ok",,TRUE,0.205511202893503
"UNRATE","Civilian Unemployment Rate [UNRATE]","cumulative_arithmetic_change",2026-05-01,2026-06-01,1,"Factor","Factor","Factor",4.3,"Observed",-0.00841144100669295,,-0.195614907132402,-2.32228781173489,4.29158855899331,"forecast_level = origin_level + predicted_change",2.03842299190982,1.68330902684168,10,2.03842299190982,1.68330902684168,10,,,1996-06-01,360,350,20,5,"factor_lags=1",-414.977628806712,63,63,0,0,63,0,0,TRUE,0,"full","ok",,TRUE,-0.00841144100669295
