"track","track_label","horizon","loss","n_evaluation","n_models","n_survivors","alpha","confidence_level","bootstrap_samples","block_length","statistic","final_p_value","minimum_survivor_mcs_p_value","mcs_package_version","mcs_output_format","extraction_status","audit_status","audit_failed","audit_critical_failed","status","status_message"
"monthly_transformed","Target-month transformed change",1,"SE",88,12,12,0.1,0.9,5000,6,"Tmax",,0.311,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",1,"AE",88,12,11,0.1,0.9,5000,8,"Tmax",,0.1018,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",3,"SE",88,12,12,0.1,0.9,5000,6,"Tmax",,0.4848,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",3,"AE",88,12,12,0.1,0.9,5000,6,"Tmax",,0.4096,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",6,"SE",88,12,12,0.1,0.9,5000,6,"Tmax",,0.662,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",6,"AE",88,12,12,0.1,0.9,5000,12,"Tmax",,0.4626,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",12,"SE",88,12,12,0.1,0.9,5000,3,"Tmax",,0.186,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"monthly_transformed","Target-month transformed change",12,"AE",88,12,12,0.1,0.9,5000,12,"Tmax",,0.258,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Civilian Unemployment Rate [UNRATE] cumulative transformed change / reconstructed level",1,"SE",84,12,12,0.1,0.9,5000,6,"Tmax",,0.1692,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Civilian Unemployment Rate [UNRATE] cumulative transformed change / reconstructed level",1,"AE",84,12,10,0.1,0.9,5000,8,"Tmax",,0.1258,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Civilian Unemployment Rate [UNRATE] cumulative transformed change / reconstructed level",3,"SE",84,12,11,0.1,0.9,5000,8,"Tmax",,0.2238,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Civilian Unemployment Rate [UNRATE] cumulative transformed change / reconstructed level",3,"AE",84,12,10,0.1,0.9,5000,9,"Tmax",,0.279,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Civilian Unemployment Rate [UNRATE] cumulative transformed change / reconstructed level",6,"SE",87,12,12,0.1,0.9,5000,7,"Tmax",,0.5642,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Civilian Unemployment Rate [UNRATE] cumulative transformed change / reconstructed level",6,"AE",87,12,12,0.1,0.9,5000,8,"Tmax",,0.558,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Civilian Unemployment Rate [UNRATE] cumulative transformed change / reconstructed level",12,"SE",89,12,12,0.1,0.9,5000,13,"Tmax",,0.5744,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
"cumulative_level","Civilian Unemployment Rate [UNRATE] cumulative transformed change / reconstructed level",12,"AE",89,12,11,0.1,0.9,5000,13,"Tmax",,0.3132,"0.2.0","MCS_0.2.0","membership_and_model_pvalues_complete","pass",0,0,"ok",
