"model","model_family","n_evaluation","rolling_RMSE","rolling_MAE","RMSE_rank","MAE_rank","target_code","target_name","horizon","rolling_months","window_start","window_end"
"Ridge","Regularization",12,0.00126800823482531,0.00116961677163534,1,3,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2018-12-01,2019-11-01
"RandomForest","Tree",12,0.00135792294697508,0.0011643359922559,2,2,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2018-12-01,2019-11-01
"Ensemble_Median","Ensemble",12,0.00138656873067198,0.00123060839362545,3,5,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2018-12-01,2019-11-01
"Ensemble_Mean","Ensemble",12,0.00139349866950584,0.00123087461212223,4,6,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2018-12-01,2019-11-01
"Ensemble_InvRMSE","Ensemble",12,0.00139349866950584,0.00123087461212223,5,7,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2018-12-01,2019-11-01
"Factor","Factor",12,0.00140081703139382,0.00112414515338533,6,1,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2018-12-01,2019-11-01
"ElasticNet","Regularization",12,0.00146269088623675,0.00128612057483222,7,10,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2018-12-01,2019-11-01
"AR(4)","Baseline",12,0.00147040450952829,0.00124006662097617,8,8,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2018-12-01,2019-11-01
"LASSO","Regularization",12,0.0015032223408912,0.00133573439189594,9,11,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2018-12-01,2019-11-01
"XGBoost","Boosting",12,0.00150602999033585,0.0011885984147942,10,4,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2018-12-01,2019-11-01
"BorutaRF","FeatureSelection+Tree",12,0.00156570227941267,0.00126921455443717,11,9,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2018-12-01,2019-11-01
"RW","Baseline",12,0.00188922180347347,0.00146007361671437,12,12,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2018-12-01,2019-11-01
"Ridge","Regularization",12,0.00128792471755297,0.0011945231244088,1,3,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-01-01,2019-12-01
"RandomForest","Tree",12,0.00137572104776342,0.0012108408275718,2,4,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-01-01,2019-12-01
"Ensemble_Median","Ensemble",12,0.00139111050973388,0.00124078936118504,3,6,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-01-01,2019-12-01
"Ensemble_Mean","Ensemble",12,0.00139752178409996,0.00124009848076721,4,5,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-01-01,2019-12-01
"Ensemble_InvRMSE","Ensemble",12,0.00139850054938283,0.0012421221631824,5,7,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-01-01,2019-12-01
"Factor","Factor",12,0.00140665303613012,0.00113783234343506,6,1,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-01-01,2019-12-01
"ElasticNet","Regularization",12,0.00144829410126493,0.00126045347954827,7,8,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-01-01,2019-12-01
"LASSO","Regularization",12,0.00147774814718756,0.001288404142839,8,9,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-01-01,2019-12-01
"AR(4)","Baseline",12,0.00148628378346931,0.00129547506901784,9,10,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-01-01,2019-12-01
"XGBoost","Boosting",12,0.00150379950333031,0.0011821398976765,10,2,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-01-01,2019-12-01
"BorutaRF","FeatureSelection+Tree",12,0.00158118524420026,0.00131483560287311,11,11,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-01-01,2019-12-01
"RW","Baseline",12,0.00184638448507024,0.00135235865087872,12,12,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-01-01,2019-12-01
"XGBoost","Boosting",12,0.00114555332021989,0.000925959986295558,1,1,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-02-01,2020-01-01
"RandomForest","Tree",12,0.00114985616641069,0.00102177977338743,2,3,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-02-01,2020-01-01
"Ensemble_Median","Ensemble",12,0.00122892801957149,0.00110103483303596,3,7,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-02-01,2020-01-01
"Ridge","Regularization",12,0.00123067988498676,0.0011099055970028,4,9,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-02-01,2020-01-01
"Ensemble_Mean","Ensemble",12,0.00123922812528783,0.00109154880643698,5,4,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-02-01,2020-01-01
"Ensemble_InvRMSE","Ensemble",12,0.00123987815482606,0.00109246263739831,6,5,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-02-01,2020-01-01
"Factor","Factor",12,0.00125047190411405,0.00100494671704315,7,2,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-02-01,2020-01-01
