"output","filename","rows","generated_at"
"research_protocol","table_research_protocol.csv",21,"2026-07-22T13:15:48+0900"
"release_manifest","table_release_manifest.csv",4,"2026-07-22T13:15:48+0900"
"core_target_registry","table_core_target_registry.csv",4,"2026-07-22T13:15:48+0900"
"primary_accuracy","table_primary_accuracy.csv",192,"2026-07-22T13:15:48+0900"
"headline_accuracy_inference","table_headline_accuracy_inference.csv",192,"2026-07-22T13:15:48+0900"
"primary_dm","table_primary_dm.csv",352,"2026-07-22T13:15:48+0900"
"primary_mcs","table_primary_mcs.csv",384,"2026-07-22T13:15:48+0900"
"primary_mcs_summary","table_primary_mcs_summary.csv",32,"2026-07-22T13:15:48+0900"
"model_summary","table_model_summary.csv",12,"2026-07-22T13:15:48+0900"
"cumulative_loss_data","figure_cumulative_loss_data.csv",34176,"2026-07-22T13:15:48+0900"
"rolling_rank_data","figure_rolling_rank_data.csv",14976,"2026-07-22T13:15:48+0900"
"rolling_window_winners","table_rolling_window_winners.csv",1248,"2026-07-22T13:15:48+0900"
"winner_turnover","table_winner_turnover.csv",16,"2026-07-22T13:15:48+0900"
"winner_frequency","table_winner_frequency.csv",152,"2026-07-22T13:15:48+0900"
"loss_concentration","table_loss_concentration.csv",384,"2026-07-22T13:15:48+0900"
"diagnostics_summary","table_diagnostics_summary.csv",4,"2026-07-22T13:15:48+0900"
