"target_code","target_name","horizon","model","model_family","loss","n_evaluation","net_loss_reduction_vs_RW","gross_positive_loss_reduction","gross_loss_deterioration","share_months_better_than_RW","top_months","top_months_share_of_positive_reduction","top_months_share_of_deterioration"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"AR(4)","Baseline","AE",88,0.0116771834590561,0.0546748934780781,0.042997710019022,0.534090909090909,12,0.636734861074738,0.621996363270008
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"LASSO","Regularization","AE",88,0.00518866400598214,0.0566718030784683,0.0514831390724861,0.477272727272727,12,0.601135548373735,0.683820793123099
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"Ensemble_InvRMSE","Ensemble","AE",88,0.00497144292327486,0.0496133820881453,0.0446419391648704,0.5,12,0.643577448761924,0.62832448795059
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"Ensemble_Median","Ensemble","AE",88,0.004901104447081,0.0524617017332487,0.0475605972861677,0.465909090909091,12,0.651818919819159,0.638379185986087
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"Ensemble_Mean","Ensemble","AE",88,0.00483260314092469,0.0499175908318212,0.0450849876908965,0.5,12,0.64817441144497,0.630525912718007
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"ElasticNet","Regularization","AE",88,0.0039997531350744,0.0561602055637758,0.0521604524287014,0.443181818181818,12,0.607629256087921,0.681186083530718
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"BorutaRF","FeatureSelection+Tree","AE",88,0.00276560498634843,0.0593916575537611,0.0566260525674127,0.477272727272727,12,0.656075257744886,0.610699252169652
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"RW","Baseline","AE",88,0,0,0,0,12,,
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"RandomForest","Tree","AE",88,-0.00318843793524916,0.0579262678123583,0.0611147057476075,0.488636363636364,12,0.625644285412096,0.623185078737148
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"XGBoost","Boosting","AE",88,-0.00662466054334221,0.0593988116101505,0.0660234721534927,0.443181818181818,12,0.654870544506944,0.576931197929121
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"Factor","Factor","AE",88,-0.00779033085268927,0.0480349404130377,0.0558252712657269,0.522727272727273,12,0.640649328851275,0.704283977719649
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"Ridge","Regularization","AE",88,-0.0141036095850499,0.0566420090832719,0.0707456186683218,0.488636363636364,12,0.65353461314827,0.669392619779277
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"AR(4)","Baseline","SE",88,0.00011087572530795,0.000351717530463239,0.00024084180515529,0.534090909090909,12,0.859893431036125,0.827060855962416
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"Ensemble_Median","Ensemble","SE",88,8.64249035045302e-05,0.000350878205553715,0.000264453302049185,0.465909090909091,12,0.861969940105642,0.827537112759237
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"Ensemble_Mean","Ensemble","SE",88,7.6297543860298e-05,0.000327203665959044,0.000250906122098746,0.5,12,0.861650803564176,0.819027391298627
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"Ensemble_InvRMSE","Ensemble","SE",88,7.53878019716178e-05,0.000322551903640419,0.000247164101668801,0.5,12,0.859020113761368,0.818247999726979
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"LASSO","Regularization","SE",88,4.51210373474826e-05,0.000365360324210808,0.000320239286863326,0.477272727272727,12,0.857222930800067,0.872056610677289
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"ElasticNet","Regularization","SE",88,3.47196953729358e-05,0.000358969973217643,0.000324250277844707,0.443181818181818,12,0.856651733461173,0.868367376497014
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"BorutaRF","FeatureSelection+Tree","SE",88,3.24815331720638e-05,0.000361881780666796,0.000329400247494732,0.477272727272727,12,0.862972664476634,0.796376452261705
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"RandomForest","Tree","SE",88,2.34470744935498e-05,0.000368089290184868,0.000344642215691318,0.488636363636364,12,0.859297756521194,0.775273081866243
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"XGBoost","Boosting","SE",88,7.31187205954512e-06,0.000361809036848428,0.000354497164788882,0.443181818181818,12,0.851743032006361,0.725872090242737
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"RW","Baseline","SE",88,0,0,0,0,12,,
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"Ridge","Regularization","SE",88,-0.000158743303087886,0.000345131038976984,0.00050387434206487,0.488636363636364,12,0.864911951885493,0.828879851877767
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,"Factor","Factor","SE",88,-0.000253657469495692,0.000306461927701385,0.000560119397197077,0.522727272727273,12,0.841974067061066,0.92379117484982
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"XGBoost","Boosting","AE",88,0.0464173955855163,0.0958221204982603,0.0494047249127441,0.659090909090909,12,0.525449073810369,0.810643424032521
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"Ensemble_Mean","Ensemble","AE",88,0.0460275848956008,0.0872665761044753,0.0412389912088745,0.681818181818182,12,0.508471741912211,0.81325014725753
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"Ensemble_InvRMSE","Ensemble","AE",88,0.0448231575376097,0.0868117131520902,0.0419885556144805,0.681818181818182,12,0.509764465363459,0.810492866396273
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"AR(4)","Baseline","AE",88,0.0437990164914648,0.0963205412201237,0.0525215247286588,0.625,12,0.560016149940293,0.791936664725408
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"ElasticNet","Regularization","AE",88,0.0417577057494173,0.0913829727622328,0.0496252670128155,0.659090909090909,12,0.503010357503773,0.812481297962195
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"Ensemble_Median","Ensemble","AE",88,0.041623453899365,0.0899008550975529,0.0482774011981879,0.659090909090909,12,0.498891502361651,0.824781512652864
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"LASSO","Regularization","AE",88,0.0413733215173782,0.0906500026916875,0.0492766811743093,0.659090909090909,12,0.499090804148115,0.815741971940866
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"RandomForest","Tree","AE",88,0.0322766920975305,0.082878120222524,0.0506014281249935,0.625,12,0.532507139876975,0.717127128305269
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"BorutaRF","FeatureSelection+Tree","AE",88,0.032185934787594,0.0874155897144982,0.0552296549269042,0.590909090909091,12,0.549497393224074,0.736346813192587
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"Ridge","Regularization","AE",88,0.0291546298536498,0.0846728139655744,0.0555181841119246,0.647727272727273,12,0.496908687008215,0.823051908822006
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"Factor","Factor","AE",88,0.0191484761963684,0.08101560019654,0.0618671240001716,0.625,12,0.510147480056569,0.823235103389699
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"RW","Baseline","AE",88,0,0,0,0,12,,
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"Ensemble_Mean","Ensemble","SE",88,0.000240956960309737,0.000558505081273871,0.000317548120964134,0.681818181818182,12,0.708495381009317,0.908375640833311
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,"XGBoost","Boosting","SE",88,0.00024021490294175,0.000657185975989897,0.000416971073048147,0.659090909090909,12,0.752958438707482,0.913324875008504
