"track","track_label","horizon","loss","model","model_family","n_evaluation","mean_loss","loss_rank","in_mcs","mcs_rank","mcs_stage_p_value","mcs_p_value","mcs_statistic_value","mcs_detail_status","mcs_output_format","mcs_statistic","alpha","confidence_level","bootstrap_samples","block_length","mcs_package_version","mcs_object_class","mcs_status","status_message","target_code","target_name"
"monthly_transformed","Target-month transformed change",1,"SE","AR(4)","Baseline",88,6.66160720726294e-06,1,TRUE,,1,1,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",1,"SE","Ensemble_Median","Ensemble",88,6.93945745502907e-06,2,TRUE,,0.4916,0.918,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",1,"SE","Ensemble_Mean","Ensemble",88,7.05454108734989e-06,3,TRUE,,0.6942,0.918,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",1,"SE","Ensemble_InvRMSE","Ensemble",88,7.06487906335762e-06,4,TRUE,,0.7128,0.918,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",1,"SE","LASSO","Regularization",88,7.40881957045006e-06,5,TRUE,,0.5348,0.918,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",1,"SE","ElasticNet","Regularization",88,7.52701663834264e-06,6,TRUE,,0.8334,0.918,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",1,"SE","BorutaRF","FeatureSelection+Tree",88,7.55245029971619e-06,7,TRUE,,0.8724,0.918,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",1,"SE","RandomForest","Tree",88,7.65511460288112e-06,8,TRUE,,0.918,0.918,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",1,"SE","XGBoost","Boosting",88,7.83846917599481e-06,9,TRUE,,0.801,0.832,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
"monthly_transformed","Target-month transformed change",1,"SE","RW","Baseline",88,7.92155863121691e-06,10,TRUE,,0.8098,0.918,,"mcs_0.2.0_pvalues_available","MCS_0.2.0","Tmax",0.1,0.9,5000,3,"0.2.0","SSM","ok",,"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]"
