"target_code","target_name","horizon","rolling_months","window_start","window_end","n_tied_winners","winner_set"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2018-12-01,2019-11-01,1,"Ridge"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-01-01,2019-12-01,1,"Ridge"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-02-01,2020-01-01,1,"XGBoost"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-03-01,2020-02-01,1,"RandomForest"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-04-01,2020-03-01,1,"XGBoost"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-05-01,2020-04-01,1,"Factor"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-06-01,2020-05-01,1,"XGBoost"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-07-01,2020-06-01,1,"XGBoost"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-08-01,2020-07-01,1,"LASSO"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-09-01,2020-08-01,1,"LASSO"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-10-01,2020-09-01,1,"LASSO"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-11-01,2020-10-01,1,"LASSO"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2019-12-01,2020-11-01,1,"LASSO"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2020-01-01,2020-12-01,1,"LASSO"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2020-02-01,2021-01-01,1,"LASSO"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2020-03-01,2021-02-01,1,"LASSO"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2020-04-01,2021-03-01,1,"LASSO"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2020-05-01,2021-04-01,1,"AR(4)"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2020-06-01,2021-05-01,1,"AR(4)"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2020-07-01,2021-06-01,1,"RW"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2020-08-01,2021-07-01,1,"RW"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2020-09-01,2021-08-01,1,"RW"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2020-10-01,2021-09-01,1,"RW"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2020-11-01,2021-10-01,1,"RW"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2020-12-01,2021-11-01,1,"RW"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2021-01-01,2021-12-01,1,"RW"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2021-02-01,2022-01-01,1,"RW"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2021-03-01,2022-02-01,1,"RW"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2021-04-01,2022-03-01,1,"RW"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2021-05-01,2022-04-01,1,"RW"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2021-06-01,2022-05-01,1,"RW"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2021-07-01,2022-06-01,1,"RW"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2021-08-01,2022-07-01,1,"AR(4)"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2021-09-01,2022-08-01,1,"RandomForest"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2021-10-01,2022-09-01,1,"RandomForest"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2021-11-01,2022-10-01,1,"RandomForest"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,2021-12-01,2022-11-01,1,"RandomForest"
