"target_code","horizon","target_name","model","model_family","winner_windows_fractional","winner_window_appearances","total_windows","winner_frequency_fractional","winner_appearance_rate"
"CPIAUCSL",1,"Consumer Price Index: All Items [CPIAUCSL]","RandomForest","Tree",19,19,77,0.246753246753247,0.246753246753247
"CPIAUCSL",1,"Consumer Price Index: All Items [CPIAUCSL]","RW","Baseline",13,13,77,0.168831168831169,0.168831168831169
"CPIAUCSL",1,"Consumer Price Index: All Items [CPIAUCSL]","BorutaRF","FeatureSelection+Tree",12,12,77,0.155844155844156,0.155844155844156
"CPIAUCSL",1,"Consumer Price Index: All Items [CPIAUCSL]","Ridge","Regularization",12,12,77,0.155844155844156,0.155844155844156
"CPIAUCSL",1,"Consumer Price Index: All Items [CPIAUCSL]","LASSO","Regularization",9,9,77,0.116883116883117,0.116883116883117
"CPIAUCSL",1,"Consumer Price Index: All Items [CPIAUCSL]","Factor","Factor",5,5,77,0.0649350649350649,0.0649350649350649
"CPIAUCSL",1,"Consumer Price Index: All Items [CPIAUCSL]","XGBoost","Boosting",4,4,77,0.051948051948052,0.051948051948052
"CPIAUCSL",1,"Consumer Price Index: All Items [CPIAUCSL]","AR(4)","Baseline",3,3,77,0.038961038961039,0.038961038961039
"CPIAUCSL",3,"Consumer Price Index: All Items [CPIAUCSL]","RandomForest","Tree",17,17,77,0.220779220779221,0.220779220779221
"CPIAUCSL",3,"Consumer Price Index: All Items [CPIAUCSL]","RW","Baseline",15,15,77,0.194805194805195,0.194805194805195
"CPIAUCSL",3,"Consumer Price Index: All Items [CPIAUCSL]","AR(4)","Baseline",14,14,77,0.181818181818182,0.181818181818182
"CPIAUCSL",3,"Consumer Price Index: All Items [CPIAUCSL]","Factor","Factor",12,12,77,0.155844155844156,0.155844155844156
"CPIAUCSL",3,"Consumer Price Index: All Items [CPIAUCSL]","BorutaRF","FeatureSelection+Tree",9,9,77,0.116883116883117,0.116883116883117
"CPIAUCSL",3,"Consumer Price Index: All Items [CPIAUCSL]","LASSO","Regularization",7,7,77,0.0909090909090909,0.0909090909090909
"CPIAUCSL",3,"Consumer Price Index: All Items [CPIAUCSL]","XGBoost","Boosting",2,2,77,0.025974025974026,0.025974025974026
"CPIAUCSL",3,"Consumer Price Index: All Items [CPIAUCSL]","Ensemble_Mean","Ensemble",1,1,77,0.012987012987013,0.012987012987013
"CPIAUCSL",6,"Consumer Price Index: All Items [CPIAUCSL]","RW","Baseline",13,13,77,0.168831168831169,0.168831168831169
"CPIAUCSL",6,"Consumer Price Index: All Items [CPIAUCSL]","RandomForest","Tree",12,12,77,0.155844155844156,0.155844155844156
"CPIAUCSL",6,"Consumer Price Index: All Items [CPIAUCSL]","Ridge","Regularization",12,12,77,0.155844155844156,0.155844155844156
"CPIAUCSL",6,"Consumer Price Index: All Items [CPIAUCSL]","AR(4)","Baseline",10,10,77,0.12987012987013,0.12987012987013
"CPIAUCSL",6,"Consumer Price Index: All Items [CPIAUCSL]","BorutaRF","FeatureSelection+Tree",10,10,77,0.12987012987013,0.12987012987013
"CPIAUCSL",6,"Consumer Price Index: All Items [CPIAUCSL]","ElasticNet","Regularization",8,8,77,0.103896103896104,0.103896103896104
"CPIAUCSL",6,"Consumer Price Index: All Items [CPIAUCSL]","Ensemble_Mean","Ensemble",6,6,77,0.0779220779220779,0.0779220779220779
"CPIAUCSL",6,"Consumer Price Index: All Items [CPIAUCSL]","Ensemble_Median","Ensemble",3,3,77,0.038961038961039,0.038961038961039
"CPIAUCSL",6,"Consumer Price Index: All Items [CPIAUCSL]","Factor","Factor",3,3,77,0.038961038961039,0.038961038961039
"CPIAUCSL",12,"Consumer Price Index: All Items [CPIAUCSL]","AR(4)","Baseline",27,27,77,0.350649350649351,0.350649350649351
"CPIAUCSL",12,"Consumer Price Index: All Items [CPIAUCSL]","RW","Baseline",11,11,77,0.142857142857143,0.142857142857143
"CPIAUCSL",12,"Consumer Price Index: All Items [CPIAUCSL]","Ensemble_Median","Ensemble",8,8,77,0.103896103896104,0.103896103896104
"CPIAUCSL",12,"Consumer Price Index: All Items [CPIAUCSL]","Factor","Factor",7,7,77,0.0909090909090909,0.0909090909090909
"CPIAUCSL",12,"Consumer Price Index: All Items [CPIAUCSL]","Ridge","Regularization",6,6,77,0.0779220779220779,0.0779220779220779
"CPIAUCSL",12,"Consumer Price Index: All Items [CPIAUCSL]","ElasticNet","Regularization",5.5,7,77,0.0714285714285714,0.0909090909090909
"CPIAUCSL",12,"Consumer Price Index: All Items [CPIAUCSL]","Ensemble_Mean","Ensemble",4,4,77,0.051948051948052,0.051948051948052
