"target_code","target_name","horizon","rolling_months","n_windows","winner_set_switches","distinct_winner_sets","windows_with_tied_winners","modal_winner_set"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",1,12,77,17,8,0,"RandomForest"
"INDPRO","Industrial Production Index [INDPRO]",1,12,79,23,9,0,"XGBoost"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]",1,12,79,21,9,0,"BorutaRF"
"UNRATE","Civilian Unemployment Rate [UNRATE]",1,12,77,23,9,0,"XGBoost"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",3,12,77,19,8,0,"RandomForest"
"INDPRO","Industrial Production Index [INDPRO]",3,12,79,21,8,0,"AR(4)"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]",3,12,79,14,7,0,"BorutaRF"
"UNRATE","Civilian Unemployment Rate [UNRATE]",3,12,77,26,11,0,"XGBoost"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",6,12,77,20,9,0,"RW"
"INDPRO","Industrial Production Index [INDPRO]",6,12,79,27,11,0,"AR(4)"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]",6,12,79,30,13,1,"BorutaRF"
"UNRATE","Civilian Unemployment Rate [UNRATE]",6,12,77,22,10,0,"BorutaRF"
"CPIAUCSL","Consumer Price Index: All Items [CPIAUCSL]",12,12,77,23,12,3,"AR(4)"
"INDPRO","Industrial Production Index [INDPRO]",12,12,79,26,10,6,"XGBoost"
"PCEPI","Personal Consumption Expenditures Price Index [PCEPI]",12,12,79,21,10,0,"RandomForest"
"UNRATE","Civilian Unemployment Rate [UNRATE]",12,12,77,26,9,0,"AR(4)"
